"Player","BB/100","Hands","VPIP","PFR","3Bet F","Fold to F CBet","WTSD %","WSD","CBet F","CBet T"
"Parana989","5.54","42,749","25.04","18.88","8.77","56.85","31.08","57.67","62.09","40.40"
"Mo Owarida","4.13","42,582","22.68","18.08","14.07","52.32","28.88","51.96","56.39","63.92"
"WildSpaces","2.40","42,386","27.68","20.42","4.52","47.01","26.19","54.74","68.75","51.92"
"BillyInnella500","-2.88","42,335","43.68","16.10","1.77","49.99","29.85","52.98","57.49","34.15"
"Dale4444199","1.49","42,150","33.70","8.27","6.64","62.04","29.67","51.96","73.71","82.16"
"MrMajic03","-6.34","42,133","32.35","17.99","7.62","49.63","28.16","51.78","49.95","55.65"
"phillyjg1982","1.41","41,658","49.40","8.15","9.42","43.38","31.67","50.24","57.71","80.78"
"s4;iy9kz3n","5.40","41,293","26.56","7.18","3.72","60.46","24.63","57.06","56.08","56.74"
"SUPERHANDZ731","-21.40","41,239","50.06","38.75","6.77","62.17","30.06","44.65","69.10","82.45"
"oldrackcity","-3.11","40,830","25.64","17.67","9.78","48.42","30.62","52.22","76.59","48.52"
"TakenByTori","-19.15","40,747","27.72","20.62","19.58","40.82","30.32","49.35","55.34","67.83"
"Rhufus00","4.99","40,598","25.62","15.20","8.86","47.59","29.16","53.99","66.96","56.18"
"pagreek","-13.52","40,405","26.18","6.56","5.44","49.32","25.55","48.03","71.84","29.65"
"XMACH1N3X","-4.93","40,376","19.06","6.44","5.88","64.68","24.94","57.31","30.17","24.66"
"huascar919","-9.76","40,063","56.97","14.54","12.03","59.46","20.89","46.58","70.44","63.36"
"old_murtaughz","-12.92","39,266","38.71","11.80","3.63","57.64","30.31","55.98","41.49","65.46"
"biff tannen 37","-19.92","39,169","34.08","18.20","16.03","44.00","31.83","47.21","68.17","60.94"
"AlwaysNutting","4.67","38,614","20.26","16.09","6.49","56.28","27.85","54.58","65.19","53.89"
"MarkieK812","-2.04","38,227","34.55","9.75","13.00","61.71","23.38","53.48","81.91","45.06"
"DIEZAL801458","1.18","38,206","48.19","21.66","1.21","71.52","24.94","49.01","74.49","64.66"
"jawn claude","3.62","37,578","27.97","18.22","15.25","49.29","31.32","53.27","61.89","53.40"
"chawk952","8.91","37,395","20.76","12.72","11.06","53.90","28.45","60.00","51.52","66.42"
"jsmitty72","-7.67","37,059","24.21","12.46","6.19","69.25","24.99","52.16","59.31","75.95"
"josehiraldo","4.49","36,565","30.84","16.06","4.01","55.29","33.48","60.36","50.77","50.77"
"Cmbakid1962","-12.84","36,421","42.49","28.71","5.28","37.23","31.96","50.01","59.00","48.26"
"dnagel222","-15.67","36,361","31.12","5.94","3.29","59.49","20.40","48.57","71.84","61.24"
"phales22","-31.63","36,240","56.29","3.76","4.63","48.81","32.20","48.64","46.81","82.03"
"patrio7s12","-2.68","35,736","21.71","15.48","21.03","45.04","31.33","53.53","43.78","65.60"
"JohnFDan","-14.65","35,199","14.68","9.28","12.94","54.24","24.59","52.49","73.96","56.71"
"doingmybest11","-10.62","35,198","27.87","18.00","3.83","50.42","32.56","55.47","42.03","52.94"
"GoMuckUrSelf420","-17.21","34,817","36.44","13.23","6.75","46.99","36.37","51.19","49.26","53.09"
"johnnypistoljr","2.04","34,694","33.46","20.95","7.17","46.22","26.81","47.33","52.94","53.55"
"Strae90","9.41","34,199","24.61","16.44","6.03","58.50","25.93","58.57","49.10","40.27"
"justshipit721","-5.25","34,065","26.90","5.70","3.88","59.69","29.77","59.85","46.71","36.67"
"Kaleb0070","2.04","33,907","19.14","14.69","8.70","58.21","30.71","56.38","50.84","57.12"
"AL ACM3","-0.57","33,686","25.29","13.73","12.31","32.53","30.89","47.87","58.83","57.85"
"Saulgoodman1985","-26.00","33,336","32.27","15.40","15.89","47.60","32.81","50.07","63.55","62.70"
"SpeedyC7","-7.27","33,121","24.90","22.27","8.20","52.19","28.78","56.87","49.52","46.81"
"Gambitjr1","-0.52","32,860","14.07","3.03","11.69","52.76","24.78","54.24","58.67","65.77"
"thickcandyshell","9.95","32,034","20.57","14.30","5.33","51.63","29.04","50.31","64.79","62.84"
"TheToe67","-17.83","31,688","50.29","12.79","5.68","62.22","27.99","46.13","64.57","64.86"
"CharlieHustle44","17.65","31,398","25.89","15.11","9.55","56.04","28.52","52.78","54.18","59.35"
"Juan Z. 1472","5.77","30,994","40.76","21.57","14.61","50.26","29.49","52.73","65.66","71.51"
"5F438","-20.32","30,977","68.49","20.57","5.05","50.94","26.46","48.13","91.16","70.84"
"bobbyt8184","-0.43","30,588","28.96","12.45","4.62","54.60","24.43","52.66","51.12","56.80"
"RutherfordHayes","-6.83","30,334","18.67","12.94","10.65","53.38","26.43","54.02","67.38","80.99"
"Sixers614","6.35","29,956","27.16","5.75","3.55","48.75","30.21","55.45","65.26","73.33"
"Ishootcraps","-0.12","29,799","27.49","20.20","10.66","56.06","27.41","51.39","79.65","41.79"
"kcaZxd","-30.72","29,781","37.45","29.30","6.33","40.57","32.43","42.15","39.65","77.84"
"brill1eye","10.70","29,529","33.26","21.28","2.90","45.43","30.04","52.32","76.10","50.98"
"grimiz40","-2.42","29,384","31.60","16.92","10.40","57.59","23.88","54.92","50.53","70.54"
"Ice Cold Heat","-43.57","28,517","36.96","17.83","1.35","32.11","36.80","45.21","80.71","54.65"
"WillieBee24","5.02","28,492","32.62","20.68","6.59","39.31","30.12","49.32","76.97","53.55"
"cancancan500","-0.99","28,352","19.81","14.57","6.85","51.50","31.26","55.40","53.92","42.03"
"GHSTface1000","6.59","28,205","20.40","9.14","15.63","64.39","23.78","55.84","86.28","35.70"
"lilsilents","-2.43","28,136","25.47","19.69","5.88","48.29","31.91","54.00","56.11","52.38"
"you pay PePe!","13.93","28,109","31.99","20.44","4.85","47.39","30.97","57.90","42.74","53.11"
"glenn603","-29.94","27,948","46.57","8.73","9.07","46.66","32.09","50.46","71.23","62.26"
"docmurph102","-4.91","27,852","26.70","20.68","12.84","40.18","30.99","46.76","65.91","63.22"
"jrc9pitt","-12.25","27,432","27.28","18.94","4.74","45.27","32.17","58.67","46.26","58.90"
"recordgenie","3.81","27,273","25.26","16.67","4.64","52.52","23.94","51.62","63.59","53.52"
"Designerpunk","-1.77","27,074","25.35","20.37","7.11","47.70","26.98","55.52","58.18","56.88"
"Arh5523","3.48","27,049","31.49","14.03","9.01","43.82","32.94","53.81","54.36","55.80"
"ualebron","11.93","26,984","25.36","20.00","10.99","49.91","27.56","56.14","61.32","47.36"
"99panther430","-2.21","26,929","22.79","5.10","1.97","70.00","28.28","56.96","63.20","64.85"
"Somsak83","4.37","26,898","21.17","13.53","16.77","57.06","28.24","54.56","78.68","45.94"
"missy7277","-2.80","26,893","48.54","8.23","8.43","52.88","28.44","50.47","45.27","77.42"
"cabs37","-1.29","26,792","29.92","7.59","10.22","55.42","28.15","53.73","55.61","67.39"
"tnt0728","3.11","26,424","48.40","14.69","5.47","61.02","23.98","52.13","76.33","57.49"
"Kehler24","8.23","26,187","26.40","6.34","11.59","47.20","31.51","58.05","51.43","67.63"
"TwelveParsecs","-4.30","26,162","40.10","12.14","9.76","50.39","30.35","52.60","66.43","63.60"
"xSpartanArtistx","-8.31","26,086","27.86","21.00","11.96","50.00","30.27","54.86","43.39","58.54"
"FunctionofPhil","15.05","25,921","26.03","17.51","6.62","51.60","28.13","56.41","81.99","67.34"
"rkl5003","-48.49","25,861","44.69","8.61","9.12","54.21","37.62","55.40","42.96","53.33"
"SammySloan","-43.23","25,671","45.50","3.99","2.60","44.55","34.45","48.12","90.53","93.30"
"LuckyG06","-58.55","25,409","50.40","9.23","17.39","55.13","30.38","50.15","78.19","77.92"
"stremba601","-12.55","25,378","27.76","17.53","4.76","45.48","31.61","48.24","69.01","52.50"
"PRR GG1","-2.44","25,313","27.27","15.42","12.23","49.02","28.69","55.36","59.81","56.18"
"DJCJR729","-6.42","24,678","17.61","2.67","7.09","41.76","39.11","60.28","61.22","59.77"
"montanna4438","-4.34","24,646","20.01","11.59","7.03","58.44","24.77","57.65","46.93","60.96"
"Rarely Wins PA","-4.39","24,596","25.98","11.00","12.27","54.78","28.46","55.90","64.26","49.22"
"greyghost1215","6.87","24,588","19.86","9.45","11.72","49.12","34.11","60.59","55.08","55.33"
"woxallpaul","-11.76","24,586","31.14","11.60","11.46","58.43","29.78","55.33","49.17","70.45"
"SankYouVeryMuch","4.65","24,577","29.75","15.03","8.13","53.74","25.96","52.64","55.32","68.13"
"mysticaldreamz","-4.09","24,515","22.85","10.39","10.53","55.06","28.02","57.19","49.78","52.00"
"Phifly215","6.98","24,502","22.22","12.01","2.65","46.51","28.10","53.68","66.27","58.22"
"bkubie2","2.71","24,498","35.28","3.76","5.33","52.66","26.36","54.66","85.36","62.26"
"DickieU312","5.53","24,377","20.94","11.59","5.19","70.51","26.44","58.01","51.98","45.69"
"bsmck73","-20.22","24,325","41.17","19.58","5.90","48.41","29.47","49.72","63.62","47.64"
"Culochaser","-1.15","24,155","27.83","11.75","20.44","68.62","28.23","53.47","81.72","34.00"
"TIME4A1A","3.00","24,062","38.08","6.82","5.75","70.22","23.57","51.05","76.15","50.00"
"xcyther3","-13.14","23,928","25.24","17.84","21.26","46.81","37.27","52.28","53.02","51.94"
"masonreelz","10.09","23,894","20.47","16.54","12.07","40.67","33.83","55.92","48.99","52.11"
"steve-atomic","-9.88","23,795","29.73","2.43","3.43","43.86","35.30","54.23","62.45","65.00"
"todmorr","5.40","23,769","24.07","15.69","3.40","61.44","23.73","54.07","82.85","49.92"
"dontbemad61","-20.43","23,693","33.32","6.33","6.60","53.00","28.41","52.27","66.32","69.44"
"tonipeaches","3.38","23,544","26.07","21.75","8.02","40.32","30.82","53.69","44.27","59.92"
"DigsDirt","3.51","23,122","62.39","2.82","2.50","52.97","19.88","44.67","90.03","61.02"
"medic20388","-8.13","23,121","17.92","11.85","7.21","46.31","34.53","54.47","56.94","55.92"
"danno5230","1.88","23,110","22.58","16.48","5.37","39.85","33.74","56.66","56.32","62.94"
"biglu2752","-4.01","23,021","26.67","14.12","15.08","57.54","30.81","55.07","53.03","47.03"
"Begoombled","-1.01","22,950","23.53","17.95","6.40","59.97","26.17","58.59","49.38","50.29"
"cmbprince69","-6.58","22,859","47.28","12.06","8.83","47.09","26.02","47.54","71.32","48.75"
"COBAJET","-17.55","22,766","51.72","10.61","6.32","47.87","31.91","50.41","56.58","55.99"
"TheSkyBison","11.20","22,713","22.22","17.34","17.58","57.58","31.00","57.67","43.71","57.42"
"BatNeon95","-5.79","22,698","28.35","7.73","12.00","48.59","36.01","56.49","59.01","47.74"
"thisonesallme","4.71","22,662","52.82","16.81","6.76","50.38","28.04","51.53","51.28","62.71"
"El_Duderino_16","-10.85","22,433","34.47","0.07","4.31","64.95","31.55","56.64","50.00","-"
"Mrzern278","-127.62","22,116","57.28","17.71","9.88","32.21","33.00","35.68","75.74","85.60"
"FullRoyalty","-36.31","22,110","53.12","17.80","6.34","44.31","30.61","47.23","58.70","65.87"
"killerkarin","-6.54","22,071","22.40","12.85","6.99","51.15","27.36","57.77","43.94","53.77"
"JFTilly","-36.89","21,991","30.23","19.00","10.05","46.07","35.03","44.44","50.54","51.20"
"jaysoreal","0.07","21,750","18.56","12.11","3.23","34.99","37.11","57.84","57.08","78.53"
"tbird jockey","-15.67","21,723","49.94","0.92","3.75","48.49","30.40","47.95","60.87","50.00"
"guillepok282","5.51","21,718","32.36","25.79","11.48","48.54","33.12","49.73","63.08","67.42"
"msu8312","-2.77","21,665","37.91","24.25","10.28","37.46","34.25","49.13","61.24","61.71"
"DeeFlo22","-21.76","21,621","43.97","1.22","10.14","54.12","32.16","47.23","75.76","89.29"
"EdwinhasHand","-22.14","21,597","41.08","6.31","2.96","49.73","29.04","46.73","74.93","55.56"
"lacwana322","-13.35","21,554","24.33","4.68","1.95","55.01","27.59","56.80","75.70","48.30"
"B&T5&10","12.37","21,519","34.29","23.75","6.09","53.01","25.87","49.88","73.56","48.26"
"AlwaysBroke2204","3.37","21,507","31.16","21.54","5.23","57.29","31.61","56.27","35.81","50.77"
"OfSternerStuff","8.25","21,476","22.68","15.19","3.21","50.76","30.06","57.69","52.11","40.62"
"Marlon Bayard","-11.13","21,176","52.11","13.42","12.92","46.84","34.90","53.57","58.57","62.24"
"CrazyEights619","-16.07","21,109","20.65","8.44","4.20","58.84","28.77","55.01","51.75","60.15"
"Ulysses Fortis","-0.79","21,032","24.80","17.83","6.31","62.14","24.33","52.68","52.64","61.06"
