"Player","Hands","BB/100","VPIP","CC 2Bet PF","PFR","3Bet F","Fold to 3Bet","Flop AF","Donk F","CBet F","Fold to F CBet","XR Flop","Bet T","Bet R","Call R Bet","WTSD %","WSD"
"dannygood211","851","-47.51","58.68","41.67","8.87","10.00","31.58","1.30","30.63","50.00","46.34","6.19","31.03","49.48","33.33","32.14","50.29"
"dannygrayshadow","1,521","-52.64","58.60","43.53","20.32","2.27","37.27","2.01","24.24","76.84","68.35","0.55","56.53","63.80","43.43","28.45","41.49"
"Dannyjj335","4,696","-20.79","35.27","20.83","16.45","19.05","56.09","4.75","29.18","85.23","56.94","10.59","63.93","58.33","25.23","23.98","42.74"
"Dannypickem","3,647","-16.04","34.67","30.79","6.26","5.71","33.33","0.32","4.24","24.11","46.53","2.17","10.12","24.48","40.74","36.49","54.14"
"danohobbs22","3,343","-56.54","58.90","41.81","6.11","5.83","67.02","2.60","45.54","71.57","48.56","4.12","49.89","37.62","25.00","30.85","40.39"
"Danomite1388","10,246","-29.51","38.49","27.34","19.92","12.60","47.84","1.23","13.18","47.63","43.88","2.47","32.69","28.48","40.10","33.68","45.27"
"danothemano350","4,507","-12.57","41.16","26.02","19.56","8.00","62.87","2.74","17.22","75.79","45.58","13.65","35.91","39.65","37.84","29.77","45.00"
"Danrob92","1,610","-41.15","37.21","26.83","8.73","11.76","69.15","5.56","56.56","74.42","72.29","4.29","51.14","50.32","29.23","22.97","42.65"
"danrod189","1,903","-79.33","63.49","57.89","6.59","12.28","29.29","1.22","32.44","71.23","51.59","1.27","48.21","45.27","31.52","32.10","44.58"
"dante_salerno","764","-54.86","52.49","22.68","16.15","0.00","39.53","1.38","20.83","73.13","46.03","1.32","45.73","42.57","36.17","38.03","42.96"
"DanteKnows","1,794","12.41","38.70","21.82","22.96","7.14","56.33","1.50","1.25","70.55","41.33","6.85","32.62","41.50","41.07","32.96","53.37"
"dantesammarco","1,028","-85.46","49.00","31.30","18.76","21.43","65.22","1.65","15.00","46.32","50.00","2.38","25.79","39.11","52.31","36.87","35.93"
"Danuttz75","665","-4.29","24.23","21.74","6.75","0.00","50.00","0.38","0.00","45.00","60.00","1.82","9.65","12.20","38.71","38.14","64.86"
"Danuttz86","7,332","-48.57","79.30","51.86","13.77","1.74","44.75","1.15","13.65","79.52","38.50","1.38","36.66","42.37","46.12","35.15","41.52"
"danutzz918","923","-37.97","41.38","21.24","5.56","14.29","85.29","3.50","4.72","86.96","70.59","11.76","35.48","36.27","35.14","26.05","47.13"
"Danwag4130","5,055","-50.50","38.61","26.26","7.98","7.41","58.73","1.94","39.68","65.65","47.85","5.98","51.96","63.33","36.69","28.85","42.76"
"daocrazyz","1,468","-76.34","77.75","64.71","7.98","12.50","33.73","0.69","12.50","66.07","44.16","3.73","19.87","44.60","39.82","41.18","41.79"
"dap519","728","-6.47","52.60","46.30","12.24","0.00","34.29","2.20","14.77","72.34","46.58","9.21","38.97","39.52","44.44","33.42","54.14"
"daphins451","1,567","-2.64","34.83","21.62","3.84","9.09","91.49","0.94","0.00","57.14","56.52","2.53","38.11","36.96","25.86","25.00","50.69"
"dapieffe","18,617","-2.13","37.37","23.07","5.98","11.55","66.26","2.20","13.51","94.59","56.19","3.32","59.79","73.28","30.56","24.98","45.31"
"DAR/0624","1,454","-12.71","23.64","16.00","2.38","16.67","70.45","1.18","27.94","85.71","64.81","0.95","24.11","19.14","45.45","40.32","57.54"
"Dar6152","3,006","-78.82","48.56","35.43","1.56","5.00","52.11","0.63","18.07","78.79","46.18","0.29","21.21","27.79","47.90","41.69","51.27"
"DarbyRd","23,610","4.44","24.22","13.81","15.19","5.03","68.22","2.31","11.03","49.62","57.98","4.04","32.79","17.40","28.51","27.47","58.87"
"DaRealKubefuism","3,671","-35.85","44.20","30.05","20.02","0.00","40.00","1.23","12.11","52.27","42.65","5.84","47.89","65.16","43.82","26.72","40.44"
"Dareason288","2,857","-38.94","39.99","28.22","2.10","10.53","58.70","0.70","11.44","81.48","53.26","1.67","26.92","39.17","31.90","31.10","52.13"
"DareyoutoDonk","13,106","2.37","31.61","19.87","17.23","2.61","61.15","1.51","7.08","44.11","50.85","4.34","32.31","27.58","34.95","30.22","54.70"
"darkendwarrior","14,522","-25.10","24.76","17.80","16.17","10.34","61.86","1.22","8.00","37.63","44.48","4.61","33.00","33.97","38.07","32.81","49.30"
"darkkent160","6,986","-10.74","24.97","17.96","7.12","13.56","57.00","1.38","19.17","56.49","65.63","2.30","23.46","21.88","27.54","31.12","58.42"
"DarkKnigh520","25,237","-19.81","21.59","17.74","13.76","9.42","52.61","1.80","30.27","39.94","59.37","1.36","19.22","29.07","28.37","30.85","52.40"
"darklumiya","3,601","6.85","33.07","13.73","19.30","4.65","66.33","2.41","28.86","58.95","45.70","0.00","49.62","48.70","32.50","26.54","47.15"
"Darknessbee","16,179","-159.54","88.59","88.46","11.61","3.14","23.97","1.21","37.26","75.85","39.07","0.57","45.37","34.93","44.81","41.34","33.92"
"darkox4104","9,599","-16.66","27.50","20.12","9.76","0.00","78.68","1.71","5.31","71.29","51.16","1.95","37.36","44.52","33.33","27.72","50.08"
"DarkPanda182","73,842","1.25","21.25","15.23","14.08","4.14","70.55","1.90","11.61","47.35","57.99","3.83","40.90","26.68","26.36","25.02","56.43"
"darkpanda750","1,753","-70.49","39.05","24.62","19.18","14.29","57.89","2.56","7.96","83.55","38.60","7.89","52.48","40.35","43.64","29.31","42.86"
"darkphase90","5,247","-35.84","60.41","49.14","2.12","4.65","64.23","1.28","30.07","61.54","53.40","2.29","40.45","36.48","27.05","31.58","49.47"
"Darktimes1300","14,598","4.83","33.32","27.04","15.47","3.96","53.97","2.01","3.52","74.65","45.67","9.61","40.16","29.47","23.44","25.68","47.79"
"DarlinBubba","603","-70.36","50.00","19.64","16.72","0.00","34.29","2.46","20.78","74.51","61.90","0.00","57.55","52.33","35.71","23.65","40.00"
"Darnell0726","1,345","-8.15","64.67","54.47","6.98","5.26","59.02","1.30","4.09","69.77","70.81","1.49","22.70","21.97","25.61","28.45","53.19"
"Darrencool404","4,069","-46.26","56.94","36.83","18.68","5.71","32.73","2.47","38.53","66.50","55.68","3.40","47.44","43.80","39.29","30.22","41.42"
"DarrenWalkerSr","543","30.28","61.12","33.33","27.53","18.75","42.11","3.04","46.81","58.82","58.97","6.67","40.94","35.71","22.50","35.50","50.83"
"Darrinkp24","829","-8.76","41.24","32.32","1.25","0.00","69.39","2.56","41.67","66.67","54.22","5.66","39.64","27.27","41.67","33.33","58.62"
"darryls2023","1,902","-137.90","62.08","34.44","13.28","21.05","24.10","1.87","21.33","73.95","64.32","2.29","37.41","45.11","36.24","29.74","39.94"
"Darth Dogers","1,109","-19.18","65.47","46.28","15.43","6.90","62.96","1.41","23.62","87.50","49.66","1.44","42.14","50.41","29.21","32.08","42.72"
"DarthDiscgolfer","5,084","9.20","39.07","27.48","11.54","9.72","57.14","1.96","11.01","62.26","55.85","2.60","38.64","29.18","33.44","26.54","55.86"
"darthfuhrer","771","-215.71","87.77","78.38","14.67","26.00","23.08","1.48","31.33","90.00","41.80","1.03","69.27","82.71","42.70","36.83","31.23"
"Darthlee28","32,600","-9.81","39.44","33.67","4.79","10.78","74.33","0.96","3.55","73.27","50.40","2.84","24.59","21.78","39.18","31.51","55.53"
"darthmatthew66","1,089","-65.48","61.71","53.64","5.96","0.00","46.51","1.12","3.92","70.37","59.01","2.38","41.93","59.03","33.33","28.94","38.24"
"DarthPlaguies","1,086","-54.67","52.20","31.19","13.15","0.00","47.92","1.45","13.21","64.06","35.48","9.38","34.03","35.32","30.53","40.53","46.76"
"DarthsGirl","1,082","-75.49","64.11","51.04","15.33","5.17","37.50","1.48","23.35","61.86","67.19","0.00","31.34","26.55","33.33","34.99","42.13"
"DarthTyrion","716","33.20","47.33","30.99","16.74","22.22","86.54","4.37","8.45","87.04","63.46","3.39","41.94","28.92","26.92","23.77","46.03"
"darx999","30,085","-17.74","61.84","41.03","16.24","2.58","41.22","1.82","32.52","56.37","63.21","1.98","39.63","38.80","36.11","33.11","47.05"
"DarylB1977","1,963","-44.98","46.03","34.71","5.82","8.00","76.00","0.90","4.55","75.00","43.64","4.93","26.32","23.99","39.42","37.23","53.05"
"DasAusten","652","14.31","63.86","53.19","1.88","0.00","55.26","0.60","4.17","33.33","57.89","2.88","37.25","58.24","27.78","27.52","42.28"
"DaSavor","7,879","-75.28","64.96","49.49","10.11","4.90","38.59","1.49","32.66","69.98","39.82","1.67","34.49","31.87","49.34","38.76","41.99"
"DaSchoe05","2,502","19.86","39.92","20.62","10.81","10.71","65.42","1.54","15.85","65.41","64.71","3.44","43.62","49.51","31.62","27.57","50.00"
"Dasco327","1,280","-90.24","42.49","23.68","19.58","5.26","33.90","3.38","47.06","82.20","55.56","0.00","42.17","33.56","41.18","32.82","36.47"
"Dash1414","10,954","-8.19","46.62","30.66","11.19","7.14","59.45","1.47","9.93","81.88","45.90","3.06","32.62","31.29","39.08","33.76","51.72"
"DashawnM","1,551","7.82","41.92","23.30","11.58","18.75","38.46","1.82","21.28","70.48","50.00","3.97","47.08","54.35","28.57","27.73","39.89"
"dashbasketball","538","-47.76","50.57","37.10","11.60","18.18","60.00","1.08","6.76","35.14","54.55","1.49","33.57","31.07","44.19","37.50","50.00"
"DaShip4","3,202","-11.23","34.81","20.41","17.19","5.71","59.06","1.84","20.27","60.31","50.86","2.42","43.56","43.60","28.57","26.21","43.85"
"DASHIPPOPOTAMUS","82,762","6.80","24.78","4.75","19.86","10.24","73.51","2.60","0.87","58.35","47.47","9.18","32.49","31.01","40.12","31.57","54.41"
"dasnake243","1,474","-91.38","61.06","45.52","8.64","3.85","42.86","1.04","27.05","43.06","60.44","1.00","28.80","43.79","25.95","29.51","45.93"
"Dat nYce 1","1,715","-9.68","36.49","27.98","4.62","10.00","75.31","2.57","18.34","65.52","39.42","20.77","34.31","34.27","18.03","34.15","46.15"
"DatBoiShane21","3,910","10.01","34.00","17.98","22.40","3.57","60.20","1.42","11.40","42.92","58.75","4.49","42.40","48.09","26.73","28.05","54.13"
"DatFakeGinger","566","-53.63","37.98","21.21","6.24","9.09","64.29","1.58","16.33","80.00","41.30","6.67","49.17","54.12","44.44","35.44","41.10"
"dato1293","1,004","-35.58","91.61","66.67","17.50","8.57","38.20","1.72","23.27","88.42","53.61","0.63","40.70","38.07","23.23","33.69","39.01"
"Datoodahfilf","2,445","-12.21","39.73","25.87","24.22","13.16","47.10","1.53","0.65","72.19","36.88","5.39","54.73","51.03","32.35","32.57","42.40"
"DaTrueMiz","2,447","-50.45","53.48","28.97","25.78","11.36","40.65","1.81","10.18","63.84","37.14","12.37","40.49","49.48","37.97","35.10","44.59"
"daultonhkline12","756","-109.38","56.49","28.77","24.10","5.26","44.12","4.12","40.45","66.67","44.64","12.96","49.56","37.41","32.69","31.63","34.62"
"daultwin","730","-66.47","58.15","36.36","14.91","7.69","62.50","1.85","30.83","74.47","40.91","3.13","45.45","43.70","41.67","33.24","38.79"
"dav503735","3,922","-14.50","29.19","14.65","20.23","5.41","55.50","3.18","4.95","84.36","50.28","10.37","39.09","31.80","39.34","31.61","49.82"
"davcole1216","1,578","-33.41","30.84","27.46","10.24","22.22","45.83","1.66","27.96","42.59","63.64","5.94","43.52","38.42","32.18","33.09","48.11"
"Dave-the-Dealer","2,342","-2.36","35.70","18.39","11.41","26.67","36.71","2.63","3.94","78.79","63.70","10.78","33.48","43.16","26.61","31.02","53.90"
"dave063","1,700","-23.65","54.14","29.05","3.65","3.70","71.93","0.86","2.87","100.00","56.18","2.51","30.62","38.92","35.86","33.64","46.71"
"dave17821","6,245","-89.71","50.74","29.75","30.26","10.87","30.94","2.51","26.45","57.79","55.73","4.12","52.15","60.00","26.85","30.70","38.35"
"davebass570","11,381","-20.69","59.04","36.82","7.86","10.08","77.56","2.01","11.26","72.59","53.00","4.96","42.52","35.98","28.95","25.07","42.39"
"daved4275","830","-111.78","38.41","21.82","16.36","16.67","63.04","2.75","19.54","84.21","50.79","8.77","54.42","32.58","33.33","31.12","39.33"
"Davedock72","2,763","-9.89","26.79","14.62","3.57","0.00","78.46","1.72","19.58","59.62","68.57","1.51","35.58","32.21","29.41","27.20","55.46"
"davekellie","522","-24.69","62.35","47.76","5.78","20.00","70.00","1.26","11.46","61.54","51.43","7.69","33.72","41.59","40.91","31.33","43.43"
"DaveLIV54","2,110","-16.89","40.10","17.39","15.07","0.00","72.92","1.50","2.34","43.33","48.62","6.74","32.34","20.08","26.26","31.92","51.04"
"davemahalleh1","715","12.62","33.05","20.29","7.34","5.26","63.16","2.20","39.22","85.71","58.82","4.88","57.36","46.15","37.84","30.51","50.60"
"DaveMysterioJr","724","-60.75","39.26","35.82","6.69","20.00","87.50","2.80","22.73","100.00","66.67","0.00","34.19","37.04","9.38","24.12","32.26"
"Davethetyrant","1,639","-32.19","36.03","26.06","10.03","9.52","64.86","1.60","20.00","36.71","47.06","5.22","27.72","32.72","34.21","33.39","48.13"
"davevin","27,399","-0.86","34.75","19.80","7.26","4.15","69.02","2.09","29.40","91.90","61.39","0.46","48.90","35.93","30.83","25.78","49.48"
"Davew114","3,379","-15.01","23.40","15.73","12.28","20.00","63.64","4.78","11.86","36.27","47.59","30.56","37.43","48.21","25.88","29.66","48.97"
"Daveykid91","4,341","-25.10","48.09","36.18","16.44","1.59","45.19","1.90","21.47","60.68","41.85","7.44","48.88","48.93","36.32","30.39","43.03"
"Daveyyy8810","3,177","-23.42","56.47","46.20","15.88","11.76","52.60","1.03","18.58","68.14","44.93","2.84","41.40","37.90","35.34","30.59","44.83"
"David610569","2,980","13.01","46.02","22.22","28.18","9.68","59.34","2.10","6.19","55.44","48.70","6.25","46.95","42.11","37.24","29.03","52.66"
"DavidFeldman","5,504","-29.58","47.06","34.63","29.46","2.99","48.28","2.66","35.41","58.31","58.54","6.37","46.80","51.08","36.22","28.93","42.17"
"davidfink1616","556","-80.83","51.46","27.59","17.88","23.08","59.38","2.62","21.74","89.80","50.00","4.08","37.07","24.42","55.26","38.58","37.76"
"davidkellybets","2,689","-13.74","54.17","41.29","13.12","5.00","54.00","1.54","29.51","47.03","50.91","6.14","47.65","42.21","22.37","24.91","43.57"
"davidkost0826","1,710","-30.10","32.83","19.53","11.62","6.98","74.49","7.59","46.21","89.13","57.35","14.29","65.09","41.54","18.18","22.63","40.95"
"DavidLee1937","5,524","26.10","27.16","16.14","17.02","19.15","61.59","2.97","13.21","71.54","52.63","8.56","50.00","35.75","21.48","24.08","53.82"
"DavidLoro","1,136","8.95","44.18","29.07","7.76","8.70","55.56","1.06","8.54","78.72","50.67","0.90","28.46","44.19","31.43","25.59","48.57"
"davido1125","839","-37.34","65.86","63.16","6.05","6.67","42.86","0.25","6.85","29.03","43.28","1.41","13.51","37.46","30.47","40.98","45.73"
"DavidSBlumpkins","1,422","6.27","39.74","24.00","8.89","0.00","76.79","1.53","7.46","62.71","50.96","1.63","31.74","38.46","22.95","22.33","54.87"
"DavidW0609","772","-90.82","58.41","32.91","11.84","25.00","55.56","3.97","40.59","82.35","77.27","4.17","48.95","50.00","32.50","21.76","38.30"
"davigoviphilly","2,183","-129.18","78.08","53.33","21.06","6.25","28.57","2.95","48.90","73.54","47.73","10.90","70.39","67.62","23.94","27.75","39.04"
"DavinciAirlines","12,972","-25.87","52.37","35.29","32.22","11.72","42.05","1.42","2.36","50.08","37.01","9.85","36.23","39.30","34.35","33.75","47.76"
"davisc5118","4,416","-27.44","33.91","20.48","8.66","5.05","57.83","1.22","12.66","86.12","47.60","1.59","43.02","35.43","39.22","33.22","44.35"
"davisheckman","2,061","-18.95","53.64","35.81","10.58","7.69","52.78","1.87","10.13","61.16","55.67","5.88","44.06","26.74","32.54","24.58","42.42"
"davistp27","5,065","-44.50","54.02","45.94","3.45","10.31","67.70","1.83","32.69","61.86","68.19","3.61","40.54","35.61","40.52","30.08","45.32"
"Davisv631","1,199","-89.19","90.68","53.25","54.83","11.43","32.00","2.97","27.94","56.35","46.67","17.56","53.83","54.84","20.37","30.35","38.37"
"davrshu","613","-50.66","71.38","42.37","32.11","14.71","30.43","2.15","37.88","51.56","55.17","4.35","60.28","73.94","54.17","33.41","32.85"
"davyates","4,209","-20.17","26.63","13.93","7.30","0.00","53.20","1.68","8.33","72.30","44.44","6.60","50.50","48.35","37.29","29.63","43.99"
"Dawg Named Dude","2,266","-25.49","49.39","29.15","10.24","2.50","60.47","1.24","28.26","52.31","57.04","1.58","47.89","50.65","36.78","28.49","41.99"
"Dawgpound1313","795","-84.03","42.45","25.56","23.39","50.00","36.17","2.97","2.67","75.31","33.85","23.61","53.91","63.01","30.43","31.87","45.98"
"DaWhale31","901","-5.13","55.73","48.28","13.88","5.26","48.00","1.21","7.83","52.94","54.00","4.35","32.92","31.17","28.17","28.15","47.01"
"dawn1566K","8,625","-37.56","41.54","18.50","30.98","15.63","45.62","3.63","13.92","60.41","47.95","18.05","46.56","51.68","33.75","31.07","43.77"
"dawns mom 0628","7,438","-49.18","47.54","33.52","2.54","7.78","56.00","0.46","4.38","48.39","51.90","3.33","15.77","21.83","50.16","45.02","55.17"
"DaWolf45","2,960","-54.99","49.34","34.73","7.67","8.20","56.59","1.15","22.40","45.00","54.24","3.38","41.68","48.32","33.85","33.10","49.69"
"dawsonscreek90","1,554","-136.65","62.29","37.67","37.80","25.00","37.40","4.58","42.33","68.51","28.91","23.77","60.63","67.43","18.18","27.45","37.96"
"DawsonTuc77","1,522","-21.52","34.74","22.77","9.08","12.50","56.41","2.04","30.88","72.22","35.37","4.21","52.63","51.78","43.33","34.11","35.43"
"Daxtorian978","14,894","-10.14","30.47","13.57","15.49","10.57","64.36","1.27","1.22","70.59","50.14","4.91","33.52","43.41","38.02","27.71","50.91"
"daybo17","3,046","-4.65","42.14","22.75","21.89","13.51","57.37","2.38","3.04","78.39","53.40","5.73","36.29","42.25","33.33","26.74","47.37"
"Dayno66","5,770","-9.16","31.45","13.78","21.25","6.78","61.49","1.77","4.84","52.90","49.00","6.49","38.93","34.64","46.23","29.29","53.64"
"dayoubo","723","-87.30","65.43","49.41","8.87","4.35","44.68","1.30","25.19","63.89","43.96","5.05","30.68","36.65","41.33","39.61","45.95"
"DaysNutz","877","-8.79","46.33","39.00","13.51","0.00","64.91","0.90","5.05","20.00","63.86","1.14","37.71","50.41","38.10","26.07","50.55"
"daytonflyer87","6,043","-26.22","34.10","20.28","23.61","2.90","67.82","2.21","3.57","72.35","41.19","7.87","40.72","35.28","45.61","30.87","48.68"
"Daytrader101","1,528","-12.66","53.76","31.16","13.80","6.67","43.75","2.30","26.06","60.33","56.45","2.10","44.20","41.33","32.58","25.83","43.33"
"daywalker1313","1,186","-8.25","27.19","23.03","12.29","6.67","60.00","1.87","2.50","78.33","47.62","4.17","33.78","29.07","32.35","25.93","55.84"
"Daywalker813","1,933","-20.57","47.75","36.11","10.83","4.26","54.70","2.02","20.23","89.52","47.09","2.31","44.50","40.60","45.54","33.45","46.98"
"Daz12Daz","616","-126.93","51.09","41.18","21.31","10.00","26.47","0.88","4.40","43.10","35.06","5.88","19.43","26.28","50.00","43.53","46.38"
"Dazarthed","2,234","6.47","29.56","16.27","8.43","3.03","58.44","2.11","26.85","76.77","55.68","0.00","44.56","35.21","30.91","30.51","54.20"
"db0374","9,389","-14.12","43.43","31.80","15.86","8.45","44.95","1.36","6.15","60.62","57.39","4.34","32.28","29.85","32.20","28.24","44.82"
"dbach2oo7","650","-21.26","41.78","26.23","4.70","0.00","75.00","1.47","7.55","55.56","65.91","3.70","38.41","44.32","44.00","24.37","53.25"
"dbcoopair","839","18.16","25.15","14.63","14.82","0.00","79.07","4.60","2.70","83.02","59.26","15.63","36.67","30.91","31.58","28.72","38.89"
"DBean172","817","32.68","31.27","16.88","12.11","0.00","53.85","2.08","24.32","67.27","58.82","1.79","61.83","53.09","39.53","22.42","55.56"
"dbelchick","3,555","-9.09","42.73","24.25","5.60","2.38","76.47","1.11","4.11","61.76","49.02","5.36","33.66","39.21","35.68","30.66","52.75"
"Dbernie19","1,898","-6.46","40.38","15.34","12.98","15.15","53.85","3.48","33.70","70.75","72.06","7.97","50.91","56.30","40.22","31.12","50.82"
"DBfromSP","612","-58.28","83.11","69.84","17.45","6.25","45.24","1.08","22.03","34.43","53.33","1.04","28.74","34.78","43.21","39.23","42.39"
"dbfrush","2,044","-21.40","51.99","33.18","13.37","10.20","63.54","1.68","16.42","95.24","45.79","5.02","49.90","37.18","46.61","32.59","40.18"
"dblb23","552","-0.31","37.99","31.37","6.15","0.00","76.47","0.85","2.27","73.33","47.83","1.89","37.50","30.43","30.43","31.82","53.97"
"DblSplitG2","7,507","6.28","29.53","17.36","7.22","10.59","63.35","1.39","6.11","81.96","49.04","4.40","34.94","29.00","30.85","30.66","51.01"
"dbowne118","1,228","-16.38","61.65","40.96","1.57","9.52","60.98","0.91","6.20","75.00","53.28","7.08","25.79","36.64","29.20","25.85","49.30"
"dbreen3","911","-56.79","55.18","35.14","8.12","0.00","61.54","1.01","1.83","76.60","52.33","2.88","32.54","49.09","29.51","28.94","47.76"
"dbrennen66","1,043","-143.41","75.51","50.57","14.96","5.00","28.81","1.73","37.74","85.54","53.72","0.00","52.71","50.74","27.78","31.88","32.26"
"dbright341","27,824","-22.15","41.53","28.37","6.81","9.46","57.54","1.26","18.65","80.11","53.52","1.54","29.30","24.81","34.80","30.49","46.75"
"dbrinker","34,708","2.70","14.95","1.48","12.22","7.14","81.16","2.09","0.00","44.14","56.17","6.44","27.73","26.66","17.29","27.68","59.59"
"dbrozino906","811","-135.42","59.19","50.00","0.88","35.00","53.13","1.49","18.85","100.00","60.98","5.56","33.33","49.74","26.09","30.46","38.82"
"dbuch01","1,214","-7.50","27.06","16.99","2.86","11.11","67.86","1.77","33.33","90.00","25.49","5.95","39.73","37.50","33.33","22.25","43.04"
"dbud22","1,277","-49.68","53.02","32.00","16.53","5.56","51.92","0.91","14.55","45.83","42.52","4.35","47.00","63.08","45.21","33.72","34.16"
"dburgh820","1,677","3.89","56.53","45.36","1.47","0.00","64.79","1.49","15.44","100.00","54.55","0.00","56.57","52.52","34.51","27.72","47.62"
"DBZFiend33","1,323","0.34","44.17","31.39","4.40","0.00","57.38","2.00","26.72","62.86","61.17","4.17","47.62","64.36","41.79","21.47","44.03"
"dc984","1,652","-25.37","41.96","21.76","25.14","0.00","54.05","1.53","2.11","79.64","37.59","8.27","45.89","51.16","32.35","26.38","44.06"
"dcann722","8,351","0.38","44.03","31.51","25.04","3.03","66.52","1.03","9.24","37.69","39.51","4.92","38.85","29.55","29.20","32.17","45.72"
"dcap1015","15,528","4.55","32.92","14.25","19.88","6.01","60.68","1.70","5.85","71.93","38.65","1.89","38.30","41.23","40.20","32.23","47.63"
"DCdego412","2,154","-22.83","60.67","46.22","10.17","4.65","48.00","1.47","28.23","44.76","40.63","5.98","46.18","48.28","39.26","27.65","45.82"
"dcg1891","2,575","-27.82","47.80","37.63","8.76","0.00","59.79","1.93","5.67","54.17","69.13","3.37","31.52","17.28","26.56","25.65","52.27"
"dcjohnspsu","918","-36.96","40.97","24.04","7.22","8.33","65.38","3.05","33.64","74.29","58.82","0.00","56.50","40.52","34.21","29.86","44.66"
"DCJr-22","657","-58.10","43.61","27.27","8.88","30.00","70.73","1.85","5.49","54.55","56.96","3.90","39.81","40.00","53.85","26.74","39.13"
"dclark468","1,018","8.05","45.29","31.62","2.31","10.00","75.00","1.05","4.88","50.00","77.06","1.48","18.35","25.68","20.37","24.84","58.47"
"Dcrawf2020","9,602","-38.17","45.80","32.55","16.69","5.45","42.79","1.19","4.89","59.20","49.09","4.59","34.18","40.45","33.15","29.56","46.98"
"Dcross14","1,008","-121.99","50.71","30.09","15.45","25.93","62.96","2.35","16.47","58.23","70.89","9.90","47.87","66.94","35.19","22.57","36.70"
"dcskms7880","25,964","1.61","29.46","13.59","7.39","4.61","69.17","3.33","35.31","79.29","66.32","1.34","48.98","46.12","28.41","24.53","51.20"
"DCsThermostat","3,583","-11.87","34.85","23.26","3.99","8.11","67.44","2.80","31.55","67.05","75.17","1.52","40.44","38.60","28.87","21.21","48.54"
"dcunninham","3,539","-33.29","50.20","30.09","18.42","6.82","59.41","2.40","33.70","75.16","47.15","5.84","49.02","54.14","35.75","26.89","45.05"
"dcurley4655","505","-128.74","60.28","27.42","2.82","0.00","64.00","0.92","12.31","100.00","80.33","0.00","29.14","34.55","43.48","35.03","50.49"
"Dcutie316","5,821","-73.14","82.49","69.25","11.70","1.15","38.46","1.37","28.09","65.87","55.13","1.82","41.08","33.31","36.50","37.48","43.68"
"dd0014","55,120","-5.71","32.35","18.62","12.79","1.58","78.82","3.18","28.50","69.03","49.54","6.26","58.88","48.10","24.54","23.52","47.77"
"DD710xxx","7,721","17.73","43.74","24.72","8.74","3.59","54.42","2.05","11.95","81.50","54.30","2.57","44.91","32.43","38.80","28.14","49.81"
"DD71684","2,967","-9.80","43.18","18.81","6.66","5.26","74.82","1.00","3.45","66.22","44.90","6.55","28.44","24.38","40.78","35.74","53.41"
"dddangle88","11,439","-18.83","35.64","17.05","20.83","15.54","62.22","2.61","29.91","57.55","46.01","8.21","41.58","43.14","37.26","34.79","43.82"
"DDehlen","911","-50.67","37.37","16.39","19.98","10.00","62.03","1.06","2.70","52.33","29.17","6.33","41.07","27.73","35.71","36.03","51.40"
"ddetrick","7,356","-11.05","31.12","23.97","18.86","1.47","51.98","1.55","8.48","72.76","34.66","2.49","50.92","54.69","24.38","26.31","43.86"
"ddeutsch25","4,707","-40.48","50.25","33.51","1.51","0.00","71.30","1.64","26.71","46.67","54.83","0.63","30.04","38.12","37.05","27.51","43.82"
"ddh2os13","6,570","-17.20","22.58","15.06","3.36","0.00","86.30","0.75","0.41","70.31","42.86","1.50","17.53","9.46","58.02","40.73","54.66"
"ddimarino","628","6.97","31.22","13.13","11.06","20.00","74.29","7.56","30.43","79.31","68.00","0.00","44.78","64.52","50.00","17.86","33.33"
"ddomn2012","1,463","-18.78","40.92","31.54","10.27","5.71","64.44","1.58","22.47","58.11","65.22","1.63","48.88","55.50","34.67","25.35","40.99"
"ddonovan87","5,739","-20.33","31.76","20.03","14.90","16.07","74.73","2.07","18.24","46.25","54.44","2.07","34.24","31.37","33.89","31.64","48.50"
"DDRockstar","4,297","-24.20","35.88","24.86","24.53","7.89","63.18","1.88","10.76","67.22","37.82","7.04","39.94","41.93","49.38","30.62","43.30"
"DDSS66","660","37.25","47.69","21.05","13.43","18.18","64.71","1.34","12.77","70.37","54.29","1.69","45.18","50.00","33.33","33.11","46.46"
"DDubbz Gaming","5,143","-28.34","33.00","25.74","7.61","17.65","69.33","2.08","11.51","67.50","62.99","5.20","32.67","32.35","17.02","26.12","49.44"
"DDunn4Us","1,738","-7.09","42.58","25.85","16.51","0.00","56.94","1.72","9.09","42.86","58.82","6.47","47.14","25.68","37.72","23.11","48.66"
"DDwyer215","22,278","6.15","24.99","17.45","4.23","6.73","70.72","2.34","22.15","78.33","68.54","3.37","41.69","36.15","31.39","23.81","55.86"
"DE-GEN20","669","-23.21","36.35","23.17","9.54","0.00","73.53","2.76","1.79","68.75","67.57","2.04","35.14","29.23","42.42","27.65","46.67"
"de_looneytoons","6,747","-8.48","33.26","17.87","13.30","9.47","56.41","1.60","2.52","71.22","57.14","6.08","30.63","24.89","28.17","29.22","55.68"
"deacon232323","2,338","-30.86","39.41","29.44","17.96","7.89","44.96","2.09","34.81","62.24","50.00","4.12","56.96","56.67","35.58","23.75","39.27"
"Dead Money Dick","1,792","-21.64","47.08","28.00","6.48","3.33","55.70","1.03","6.07","88.46","59.59","4.46","25.76","36.17","33.71","31.80","53.44"
