"Player","Hands","BB/100","VPIP","CC 2Bet PF","PFR","3Bet F","Fold to 3Bet","Flop AF","Donk F","CBet F","Fold to F CBet","XR Flop","Bet T","Bet R","Call R Bet","WTSD %","WSD"
"007DadJokes","1,052","-42.02","48.35","39.69","5.72","14.29","69.23","1.18","24.17","80.65","43.00","0.83","38.46","42.15","40.23","37.55","44.72"
"00joe11","27,406","-0.33","17.08","8.29","12.04","12.23","68.46","2.48","3.06","55.75","48.11","7.50","30.18","17.73","25.37","26.22","63.51"
"00JohnnyBlaze00","1,473","-33.38","43.97","30.36","17.95","13.64","53.51","3.49","41.78","66.67","65.26","0.00","41.63","28.92","27.66","29.42","44.44"
"01100101jmaybe","1,876","21.52","35.48","16.27","25.85","4.00","61.59","2.59","10.68","54.88","32.95","12.50","46.09","60.38","44.64","29.55","42.47"
"019Delta","4,192","-30.83","36.43","27.59","2.08","9.09","71.43","0.51","4.81","49.02","49.57","1.08","14.87","29.73","37.99","32.74","59.21"
"032353","8,420","-9.88","46.58","32.88","17.18","5.43","55.36","2.10","17.80","67.22","44.62","7.52","34.67","31.95","39.88","30.89","49.51"
"03joem84","6,517","-32.25","54.35","51.09","7.13","11.11","43.13","0.65","4.98","40.18","54.35","1.92","20.64","21.77","41.47","36.92","53.39"
"04ellsworth","25,627","-27.12","44.45","35.46","2.02","5.53","65.39","0.91","9.20","66.46","53.37","1.55","28.60","25.61","40.55","33.14","50.04"
"07271982","3,956","-9.81","43.09","31.21","10.78","11.76","62.84","2.15","4.73","87.15","57.89","6.23","42.20","29.80","39.38","26.33","46.83"
"07281961","635","-211.54","48.88","27.27","11.04","10.00","22.73","3.18","53.57","93.10","38.24","13.51","70.59","69.83","38.64","36.44","30.83"
"081128055","6,484","-12.37","34.07","19.26","6.56","2.50","72.39","2.18","26.32","73.10","62.11","1.67","41.41","48.30","29.82","24.72","55.71"
"08ozil10","537","69.65","39.85","27.91","23.12","0.00","53.13","1.85","25.93","58.33","47.06","12.82","41.11","27.12","25.81","29.00","56.90"
"09281969","1,003","26.40","50.97","38.46","12.70","6.67","75.95","1.83","11.19","77.42","49.14","5.50","29.11","36.02","28.85","29.73","53.03"
"09stang","6,279","-16.36","55.40","36.07","4.11","5.83","65.71","1.57","16.35","79.61","42.70","3.13","40.23","45.93","22.71","26.97","44.37"
"0bzerver","515","-52.54","47.22","28.07","7.54","0.00","55.00","2.32","50.00","70.83","65.12","0.00","45.60","56.63","33.33","26.56","50.00"
"0h_drats","514","-22.05","47.25","28.00","27.35","16.67","35.29","0.73","4.69","45.00","25.00","4.55","42.59","52.56","28.57","33.75","35.19"
"0Hardcastle0","179,528","-1.57","22.76","1.82","18.74","9.92","81.16","1.77","0.11","43.11","47.98","6.48","24.17","31.16","33.64","30.66","58.98"
"0JazzMonk0","50,751","2.59","29.38","11.69","21.32","9.81","54.46","1.75","1.69","66.54","37.91","9.54","38.74","36.86","33.77","30.83","50.79"
"0n_Phish_Tour","1,000","-28.70","33.61","8.40","12.46","0.00","57.14","1.67","28.57","50.00","61.29","1.85","60.69","71.28","18.75","18.09","34.55"
"0ptimal","14,593","-13.87","33.39","13.90","22.77","5.70","56.76","1.66","3.21","63.75","45.03","6.45","28.32","29.74","35.84","29.46","50.27"
"0rion98","994","24.60","37.21","12.22","13.28","14.29","41.67","2.04","3.33","76.47","52.54","6.38","41.21","40.37","36.11","29.04","60.00"
"0stake","1,675","-17.44","34.19","12.86","7.03","13.04","66.67","3.06","15.33","71.19","61.86","2.24","47.94","37.86","28.57","19.79","45.61"
"0tters_88","6,569","-30.17","34.06","17.59","17.94","7.89","54.68","2.02","7.69","61.53","56.29","7.94","30.92","30.16","40.17","31.30","48.16"
"0xCOUCH","823","-45.40","19.65","1.85","16.75","0.00","67.39","4.67","65.00","77.61","46.15","8.33","55.93","51.28","22.22","27.27","39.39"
"0xfranklight","5,473","-26.49","38.41","20.43","19.27","8.86","61.40","1.78","8.67","71.93","36.39","7.73","32.88","32.47","32.32","31.33","45.24"
"1-Baronsamedi-1","1,045","-21.05","26.31","18.89","7.38","5.00","64.29","1.07","15.91","72.92","73.33","0.00","22.58","20.39","44.00","31.06","62.00"
"100%TOOHIGH","1,085","50.47","70.44","55.29","4.03","15.38","23.64","1.54","41.41","85.71","51.09","6.29","53.79","59.04","40.00","29.40","44.26"
"1000lbCatfish","900","31.66","26.21","17.17","10.36","0.00","63.41","2.17","22.50","29.55","35.00","18.37","47.93","50.00","23.81","32.59","52.05"
"1000ppundnutz","916","-117.67","66.78","61.11","14.81","6.25","21.82","1.29","41.48","52.70","45.61","5.74","43.54","41.15","22.50","32.70","50.72"
"106670A","1,103","-52.45","39.48","26.47","0.46","16.67","67.35","0.96","10.53","50.00","53.98","0.00","27.01","18.47","42.25","36.88","49.36"
"1094108038","1,101","-94.12","55.93","36.96","16.67","7.14","35.37","2.58","28.17","50.82","44.55","7.29","37.58","32.71","25.68","34.46","44.33"
"10_8dd","1,477","13.68","43.36","12.14","30.56","19.35","41.11","2.87","5.49","65.04","51.43","16.52","39.01","37.50","40.91","31.04","51.89"
"10k_Maniacs","3,541","-23.22","43.85","29.67","4.94","2.60","65.15","2.18","22.86","88.76","56.91","4.12","58.43","56.73","37.16","26.22","40.92"
"10thelonewolf31","7,147","-47.34","46.08","42.48","8.71","12.73","62.78","1.62","9.78","69.65","34.45","7.54","32.08","31.67","29.80","31.39","42.84"
"11Innn0cence","23,051","-15.78","38.54","22.28","8.25","15.58","65.90","1.56","9.63","79.95","59.99","1.42","34.53","38.75","27.39","30.92","50.13"
"11mcdermottr11","10,610","-52.13","49.50","27.30","25.72","6.90","37.97","1.51","7.55","65.42","23.46","8.12","48.23","44.64","55.99","41.01","39.98"
"12345jepprox","5,742","-34.56","53.71","41.00","9.82","9.24","53.65","1.25","12.93","72.95","49.43","2.09","26.70","24.75","46.11","35.75","46.30"
"1234gotcha","786","-213.99","78.82","66.00","13.95","8.89","10.53","0.80","29.20","60.98","33.68","6.02","44.85","31.73","36.57","41.11","42.55"
"12gageBundy","659","-35.90","63.01","61.02","17.71","0.00","60.00","1.26","10.26","50.00","42.45","4.40","28.50","32.39","46.43","34.04","44.19"
"12Gator12","2,003","-49.68","33.93","14.75","5.89","7.69","73.49","2.44","23.42","68.49","56.88","6.29","44.79","45.31","35.53","25.42","40.36"
"12jockey!","2,110","-38.65","39.53","15.68","8.62","2.63","77.78","3.63","34.32","81.01","56.43","4.44","31.89","32.34","50.00","28.17","48.17"
"12vtvtaurus","1,426","-77.00","54.60","32.43","0.79","12.12","69.77","1.58","28.49","85.71","51.49","2.72","56.53","56.94","44.19","32.31","43.08"
"131bridges","885","-6.60","37.63","12.22","7.16","0.00","77.14","3.30","7.32","74.19","63.33","0.00","54.48","54.55","68.18","28.34","45.98"
"1331karpy","1,033","-17.83","32.94","24.24","12.39","20.00","66.00","2.67","8.20","77.59","47.27","8.45","38.62","26.09","38.10","29.00","41.67"
