Player,Hands,BB/100,VPIP,PFR,3Bet F,Fold to 3Bet,Flop AF,Donk F,CBet F,Fold to F CBet,XR Flop,Bet T,Bet R,Call R Bet,WTSD %,WSD
player18084,639,-140.28,75.68,53.22,13.79,44.44,3,31.58,60.64,58,5.97,45.96,49.19,32.69,36.18,43.06
player18085,"3,000",-9.29,37.46,3.2,0,81.25,1.15,13.99,60,53.89,1,26.18,43.91,37.43,26.43,50.61
player18086,632,-67.36,41.8,11.48,18.75,71.43,2.69,31.91,85.71,60.71,6.25,52.31,45.98,42.31,34.75,40.24
player18087,"1,057",-23.58,64.52,4.91,0,60,1.71,22.5,72.22,63.91,0,37.3,38.5,26.14,25.87,55.14
player18088,"4,907",-3.62,45.37,8.06,9.52,65.54,0.81,2.71,73.33,50,2.41,33.14,43.58,32.41,30.38,53.02
player18089,522,-74.94,40.19,29.32,11.11,41.67,2.13,8.33,64.56,21.74,12.12,56.04,47.17,62.5,27.32,43.4
player18090,737,-53.21,56.28,10.47,0,65.63,1.74,7.92,91.11,49.37,4.94,53.74,53.17,35.42,28.21,38.39
player18091,959,-38.74,28.31,3.98,0,77.78,1.09,11.43,70.59,56.86,3.39,22.37,64.41,53.13,35.25,46.74
player18092,655,-8.6,33.91,16.88,0,70.73,1.61,0,52.73,44.74,8.82,30.19,32.35,20.69,33.68,53.13
player18093,"2,026",-9.78,37.53,2.59,0,81.82,1.31,23.03,92.59,57.46,0.6,50.68,46.44,29.66,33.85,53.9
player18094,"1,497",-45.96,35.55,14.56,18.18,70.27,2.18,12.15,49.14,56.84,7.84,31.49,29.53,37.04,28.81,42.86
player18095,"1,538",-167.44,54.33,16.46,13.16,29.58,2.99,14.37,96.24,43.07,11.84,66.89,78.37,28.57,27.59,30.61
player18096,793,-98.24,79.46,3.11,6.06,47.22,0.94,30.22,50,68.89,0,27.59,33.33,31.71,37.21,49.37
player18097,565,-84.79,57.35,22.22,16.67,51.61,2.75,21.18,82.72,40.63,10.77,41.26,22.89,30.43,25.24,41.03
player18098,"1,478",-24.03,35.62,3.71,50,67.57,2.03,4.61,61.11,51.38,16.82,22.58,13.48,38.46,36.87,48.37
player18099,"1,241",39.59,60.79,8.12,7.14,73.49,2.03,39.38,58.93,41.72,2.54,64.8,57.09,36.62,32.64,46.36
player18100,"2,282",-50.76,32.2,20.37,17.65,56.92,2.35,4.43,74.14,46.09,11.97,29.22,23.83,27,29.95,52.31
player18101,"5,385",-23.94,67.48,12.61,1.46,54.21,1.5,21.27,80.66,47.88,2.62,46.26,39.18,28.48,27.46,48.89
player18102,515,81.5,56.77,23.55,15.38,41.67,2.11,46.34,62.5,37.14,4.88,36.51,39.08,34.21,38.1,57.95
player18103,"1,419",-22.87,48.2,5.84,3.33,79.03,2.15,29.94,62.22,62.3,3.05,46.56,43.01,43.75,29.7,47.96
player18104,"15,561",-44.52,54.72,9.58,7.58,57.63,1.47,21.87,52.85,50.08,1.41,34.51,39.9,28.11,28.53,41.64
player18105,"2,449",-3.81,31.08,23.43,20,70.73,2.99,0,73.04,47.37,9.48,40.73,37.65,31.37,29.42,45.75
player18106,"49,724",-18.57,62.83,11.25,6.45,68.86,0.96,1.28,35.63,46.31,8.62,33.28,31.41,30.91,27.91,46.17
player18107,"1,131",-16.45,51.22,1.35,3.23,80,2.1,38.78,54.55,73.53,0,50,66.82,43.08,27.99,43.86
player18108,"3,575",-40.81,45.23,7.23,2.7,58.79,1.48,29.43,77.52,56.25,1.42,57.2,63.81,40.5,24.95,46.23
player18109,"5,827",-47.57,65.18,12.93,4.88,48.41,1.05,11.85,37.34,53.89,6.21,28.53,30.17,31.89,33.24,49.28
player18110,"2,098",3.58,41.76,14.46,5.56,65.26,2.35,17.26,67.88,50.82,6.52,38.29,37.94,52.83,32.23,51.57
player18111,548,-83.65,52.79,14.87,0,55,1.06,0,67.74,42.25,3.08,17.39,20.62,55.56,38.19,49.48
player18112,"2,796",-14.36,44.56,23.83,6.25,58.76,1.63,4.48,74.03,35.53,5.12,43.81,35.69,37.41,30.93,43.2
player18113,"1,584",-38.66,53.94,14.62,7.14,50.59,2.72,50.97,87.61,42.11,5,60.25,50.36,32,31.25,44.62
player18114,"1,519",11.96,29.16,14.49,6.25,65.15,0.96,1.8,63.3,57.84,0,30.35,41.79,35.71,28.03,55.2
player18115,"1,116",-9.96,29.76,5.99,0,42.31,2.3,38.46,76.09,65.12,5.17,53.66,47.5,39.58,26.25,41.9
player18116,"88,674",3.07,29.31,18.92,4.16,71.56,1.71,6.42,50.85,58.57,3.44,33.13,29.38,39.56,31.57,55.28
player18117,"1,372",-5.43,43.54,13.17,4.76,53.85,2.85,21,85.37,63.51,0,38.57,46.33,26.76,25.48,47.59
player18118,"70,497",9.97,22.98,19.68,6.84,75.74,1.99,1.53,47.44,42.18,9.09,31.23,37.54,37.06,30.66,58.59
player18119,"2,545",-18.08,42.26,21.69,5.26,75.42,1.83,2.17,70.51,34.86,10.69,43.97,30.87,39.62,35.67,44.36
player18120,"1,178",-32,22.86,10.21,0,62,3.17,1.56,62.96,62.07,6.56,34.59,11.11,39.29,29.73,54.55
