,player,hands,bb_100,vpip,cc_2bet_pf,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
5076,ENISS2315,2552.0,-10.27,46.15,23.55,9.32,2.65,62.38,2.99,56.67,89.17,64.8,0.0,55.29,50.47,43.88,34.94,54.68,4,The Loose Aggro Fish
5077,Enjoy_a_Samich,23370.0,3.6,37.89,17.11,22.41,4.96,62.21,1.44,1.9,65.43,35.76,5.19,40.31,33.41,42.6,32.99,49.51,0,The Loose Passive Fish
5078,enlightend_one,2671.0,-27.41,25.39,21.9,9.88,6.06,72.57,4.12,42.0,70.8,65.35,2.25,41.53,29.02,29.63,28.37,45.25,5,The Moderate Aggressor
5080,Ensign_Theta,4913.0,-16.35,38.02,25.92,16.03,7.55,45.09,2.54,35.4,47.93,60.33,5.46,43.16,35.74,30.61,26.5,46.22,2,The Hyper-aggro Maniacs
5081,entersloww,5952.0,-30.44,50.09,45.88,16.39,2.1,62.41,1.21,32.57,54.4,47.27,1.74,28.79,32.18,38.43,34.36,49.6,2,The Hyper-aggro Maniacs
5082,enuss49,26104.0,-13.65,32.21,10.6,0.5,1.75,91.03,0.86,10.74,57.61,56.3,0.14,28.46,35.38,33.81,31.6,62.41,0,The Loose Passive Fish
5084,Enyafase420,2530.0,-25.25,63.22,51.46,3.97,16.28,64.81,0.8,6.46,75.76,45.7,4.74,27.53,43.5,31.49,35.14,51.71,2,The Hyper-aggro Maniacs
5085,Enzly,12378.0,-10.46,51.8,35.56,11.3,3.09,67.65,1.66,7.14,57.68,52.26,4.7,52.09,44.22,27.9,25.23,45.38,5,The Moderate Aggressor
5086,Enzoface,1129.0,-33.74,24.36,13.84,1.46,0.0,80.0,0.79,13.64,33.33,54.1,1.56,21.25,33.64,23.08,32.98,52.69,2,The Hyper-aggro Maniacs
5087,Enzolfo412,4312.0,-14.09,41.85,22.92,19.89,14.29,62.18,0.94,2.96,50.77,39.94,4.24,33.88,37.11,50.0,36.52,48.3,2,The Hyper-aggro Maniacs
5088,eonjames,9568.0,-36.17,69.08,48.39,18.6,5.2,49.92,2.16,27.49,58.26,58.97,3.85,46.87,27.68,28.1,30.35,50.54,4,The Loose Aggro Fish
5091,epicadj,34925.0,-23.65,40.75,24.9,9.85,10.59,58.03,1.26,18.24,35.39,51.05,9.59,33.32,47.64,31.74,31.69,47.13,2,The Hyper-aggro Maniacs
5092,EpicRancel353,3703.0,-4.33,43.03,35.86,17.71,0.0,48.13,1.28,6.57,71.43,50.57,0.54,42.34,44.66,25.91,28.04,46.67,5,The Moderate Aggressor
5094,EpicWestern,15405.0,14.16,24.52,7.66,17.05,10.26,77.57,3.18,1.87,58.53,51.44,6.86,33.38,31.78,30.09,24.55,61.86,0,The Loose Passive Fish
5095,EPZilch,11758.0,-13.67,34.77,12.16,10.88,5.7,64.18,1.75,20.71,51.85,66.72,1.63,28.61,34.13,43.09,32.7,49.41,2,The Hyper-aggro Maniacs
5096,Erbyyy,1685.0,-33.48,38.91,25.97,12.57,2.63,57.75,2.24,44.76,78.72,68.35,0.0,32.9,32.5,29.25,26.8,50.28,4,The Loose Aggro Fish
5097,Erdoc4u2,2506.0,-103.23,55.16,40.86,25.09,5.88,28.57,2.44,21.47,64.69,46.64,13.97,40.39,43.95,28.46,29.55,37.81,6,The Big-Betting Fish
5098,Eric hou16,5147.0,-9.36,44.6,22.88,10.39,10.45,77.02,1.44,3.39,70.94,47.92,0.86,56.85,63.2,35.67,28.79,49.56,5,The Moderate Aggressor
5100,eric4525,4457.0,-70.83,54.3,39.54,31.21,6.98,29.53,1.27,0.79,91.73,30.33,3.67,39.4,40.11,53.59,41.23,41.04,1,The Solid Regs
5102,eric_iron84,10263.0,-41.66,36.21,21.17,4.33,3.65,70.79,1.12,16.3,60.47,40.0,6.61,26.51,53.17,42.14,35.42,48.24,2,The Hyper-aggro Maniacs
5103,Eric_PGH412,1460.0,-68.8,52.35,28.33,10.02,10.26,52.63,1.13,6.47,59.42,59.88,2.97,29.75,26.72,34.65,31.04,47.83,1,The Solid Regs
5105,ericbugby,3998.0,-60.07,35.25,23.63,8.95,17.14,66.15,1.89,22.51,59.68,43.48,4.85,34.83,40.95,29.5,33.43,41.65,1,The Solid Regs
5107,ericcal22,4998.0,-85.97,48.46,32.63,5.45,15.38,65.07,0.92,15.77,84.67,39.0,3.86,43.33,39.79,38.79,33.31,42.62,1,The Solid Regs
5108,ericcarl630,1158.0,-36.28,66.58,41.74,15.43,4.65,42.17,1.97,30.51,73.12,56.15,4.41,47.84,43.81,34.48,27.17,37.5,4,The Loose Aggro Fish
5109,Ericd1981,3418.0,-52.67,52.22,38.43,5.19,5.48,53.91,0.97,7.99,45.0,53.38,3.8,34.36,42.44,34.6,32.87,44.51,1,The Solid Regs
5110,erichead6589,8730.0,-0.3,31.76,20.22,9.71,11.97,61.76,3.07,29.55,58.06,64.83,2.02,47.07,42.21,40.73,29.88,51.71,5,The Moderate Aggressor
5111,Ericiro245,2309.0,-77.91,61.48,42.19,17.52,12.07,37.59,1.63,20.96,73.28,48.91,7.0,37.3,36.6,35.65,36.75,42.57,1,The Solid Regs
5114,ericrhoades55,1120.0,-133.58,76.3,77.89,2.46,8.82,37.21,0.2,5.49,23.53,37.8,0.0,10.18,19.95,44.62,46.05,48.96,6,The Big-Betting Fish
5116,ERICtheGREATONE,8098.0,-25.53,51.39,30.63,24.33,10.0,46.3,2.83,31.02,61.16,68.68,2.13,34.62,32.34,29.29,30.27,51.43,2,The Hyper-aggro Maniacs
5117,ericupfalow,2261.0,-19.0,45.07,28.98,11.97,9.09,61.07,0.88,2.95,52.42,43.53,7.27,28.38,34.54,21.57,34.08,52.29,2,The Hyper-aggro Maniacs
5118,ericwshell,9119.0,-1.17,23.09,18.43,3.21,4.46,78.99,2.16,28.45,83.53,60.54,0.48,52.67,56.29,30.86,27.72,46.72,5,The Moderate Aggressor
5121,ernharthsw,1892.0,-27.99,55.16,26.9,22.35,6.9,57.14,2.3,36.18,66.51,46.0,5.59,52.28,46.38,33.61,30.85,40.34,4,The Loose Aggro Fish
5122,ErnieJ64,1421.0,-70.91,45.33,29.41,9.93,30.77,61.02,3.1,18.25,76.19,63.25,9.17,41.31,34.32,43.14,32.04,44.51,1,The Solid Regs
5123,ERNJO,60474.0,5.55,41.32,22.38,18.24,4.68,61.46,4.36,31.5,92.13,52.35,6.48,52.75,61.93,26.0,23.35,46.58,5,The Moderate Aggressor
5125,erocwvu,2341.0,-9.57,47.0,31.52,2.88,2.13,60.0,2.11,42.8,60.71,71.02,0.56,43.81,60.79,29.82,21.12,47.01,5,The Moderate Aggressor
5127,eRox11,1401.0,-0.28,45.4,30.38,4.72,0.0,72.0,1.72,7.64,80.0,66.06,4.02,33.81,29.78,44.71,27.27,51.98,5,The Moderate Aggressor
5128,errantwinter,1206.0,15.37,46.82,34.17,4.02,6.67,53.33,1.14,10.69,81.82,60.47,3.92,30.18,27.62,39.18,31.29,54.27,5,The Moderate Aggressor
