,player,hands,bb_100,vpip,cc_2bet_pf,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
0,!TzNotyOuRtuRn,47404.0,-1.64,39.81,19.72,20.57,3.34,59.16,3.97,50.98,79.38,45.72,4.55,61.41,67.22,26.91,19.29,43.54,5,The Moderate Aggressor
2,#1tightwad,1785.0,-31.67,39.62,23.08,7.09,14.29,63.89,2.95,30.77,79.66,51.28,6.67,50.0,46.95,38.81,27.23,39.68,4,The Loose Aggro Fish
3,#1ump77,1199.0,-20.66,50.42,35.56,7.46,14.29,30.95,0.86,9.63,43.18,39.02,4.58,18.77,25.64,35.24,39.88,47.69,2,The Hyper-aggro Maniacs
4,#FreeOGJ,7962.0,-15.66,32.43,17.51,14.91,18.06,53.39,2.75,17.14,69.54,55.34,9.35,36.29,34.65,41.18,28.09,49.54,2,The Hyper-aggro Maniacs
5,#FREEPOSTLE,8469.0,9.11,27.9,1.5,23.09,8.06,77.3,3.3,0.72,64.55,47.74,11.08,38.65,42.95,42.39,27.04,51.9,0,The Loose Passive Fish
7,#Jay68carr,1087.0,-35.47,49.15,35.71,13.54,0.0,41.46,1.4,5.44,59.42,52.89,4.24,27.31,24.38,32.88,29.52,51.41,2,The Hyper-aggro Maniacs
8,$$$forDiapers84,1310.0,-39.38,35.52,25.0,10.98,7.69,67.86,1.98,12.77,64.0,58.57,4.35,68.2,71.07,33.33,22.14,36.78,4,The Loose Aggro Fish
9,$$Top_Boy$$ OG,79103.0,0.02,23.02,7.61,19.24,9.07,71.25,2.41,1.14,48.19,47.06,8.29,38.57,36.37,29.81,28.36,53.22,0,The Loose Passive Fish
10,$1Mplease2535,34463.0,-20.93,42.65,11.99,30.84,20.98,46.37,2.3,3.58,66.39,46.35,11.32,44.1,37.32,38.9,33.53,45.03,2,The Hyper-aggro Maniacs
11,$1skittles,7793.0,-38.28,39.26,27.15,4.0,10.23,70.11,1.03,15.34,53.42,51.56,1.1,28.31,29.35,31.64,33.96,47.65,2,The Hyper-aggro Maniacs
12,$60dave,1729.0,-78.31,66.49,56.59,15.85,4.92,36.27,1.68,23.67,72.03,48.94,4.23,51.12,50.97,27.48,30.88,39.77,6,The Big-Betting Fish
13,$B(MFIN)M172,4446.0,-98.86,56.71,32.85,25.33,1.54,48.15,1.51,10.57,73.84,32.57,5.87,53.96,57.99,34.62,28.9,33.28,6,The Big-Betting Fish
14,$BIGMOON23,23976.0,-10.33,50.29,25.92,15.48,6.37,56.29,2.45,31.84,68.53,63.6,2.43,45.96,39.86,28.28,26.11,44.5,5,The Moderate Aggressor
16,$endthat436,2262.0,-58.7,52.66,31.65,13.1,8.89,58.09,1.62,21.66,54.0,45.12,5.58,36.08,40.22,36.88,32.71,43.1,1,The Solid Regs
17,$hadow92,1165.0,-20.37,51.43,36.84,6.33,4.35,42.42,0.59,14.91,48.65,52.04,1.27,24.83,37.87,19.23,23.88,51.68,2,The Hyper-aggro Maniacs
18,$hocka989,1590.0,6.91,51.21,18.35,7.65,6.25,61.36,1.79,12.1,84.48,53.39,3.24,40.0,40.75,29.29,28.71,52.92,5,The Moderate Aggressor
20,$ite$123,21460.0,-31.82,29.31,14.17,17.25,15.18,57.67,1.2,10.32,43.35,38.6,6.92,37.7,46.66,37.19,31.57,44.09,2,The Hyper-aggro Maniacs
21,$keeter215,1381.0,-111.45,54.65,43.22,11.09,8.33,32.08,1.46,38.04,63.86,62.3,2.1,39.64,44.49,32.73,34.44,44.44,6,The Big-Betting Fish
22,$leepyeyeguy,3197.0,-44.3,56.23,21.58,24.42,10.91,45.0,2.57,27.3,68.54,60.54,5.14,44.76,42.12,48.28,33.9,43.33,4,The Loose Aggro Fish
24,$olid_$take,31789.0,-11.93,28.57,15.12,13.61,4.31,66.47,3.05,17.3,46.81,64.8,7.55,40.61,67.78,19.02,17.66,46.71,5,The Moderate Aggressor
25,$p@rky056,1078.0,14.01,41.12,27.86,11.02,0.0,83.64,0.96,9.47,46.15,53.57,3.37,30.49,31.1,26.32,35.57,55.8,0,The Loose Passive Fish
28,$tacks999,3430.0,-12.74,37.94,30.61,6.58,11.32,50.0,1.4,17.86,76.07,51.14,4.82,38.51,39.71,28.99,30.22,42.93,5,The Moderate Aggressor
30,$tonehand$,1781.0,-119.92,41.2,28.88,14.28,3.85,52.17,2.13,21.85,86.18,44.14,2.44,42.06,53.48,29.49,31.91,41.07,6,The Big-Betting Fish
31,$toopid7,81214.0,10.73,31.32,9.4,18.93,8.39,72.5,2.43,6.63,64.29,52.4,7.87,38.86,31.05,39.91,28.4,54.74,0,The Loose Passive Fish
32,$uperior£uck,7213.0,-4.26,26.43,20.52,9.74,8.33,66.76,2.19,1.96,67.56,42.82,9.75,39.17,22.34,39.74,29.66,53.95,0,The Loose Passive Fish
34,*Moz*Moz*610*,4926.0,-10.62,49.31,31.39,11.3,1.54,52.15,0.77,5.47,61.36,54.28,1.31,25.94,42.41,25.96,31.09,51.2,2,The Hyper-aggro Maniacs
35,-MOJ-44,5479.0,-8.13,46.33,28.45,15.45,10.0,60.27,2.5,29.91,66.25,53.26,5.4,39.96,30.33,29.62,27.79,44.5,5,The Moderate Aggressor
36,.N3gative1inM3.,11986.0,3.05,20.95,13.35,15.16,10.0,70.52,1.81,9.23,46.49,55.36,3.2,21.61,19.86,19.26,27.67,59.53,0,The Loose Passive Fish
37,00.chew.00,10235.0,-36.87,38.92,34.07,9.63,14.08,59.69,0.63,0.31,51.49,50.38,4.01,18.05,22.9,27.65,33.92,56.43,2,The Hyper-aggro Maniacs
39,007DadJokes,1052.0,-42.02,48.35,39.69,5.72,14.29,69.23,1.18,24.17,80.65,43.0,0.83,38.46,42.15,40.23,37.55,44.72,4,The Loose Aggro Fish
40,00joe11,27406.0,-0.33,17.08,8.29,12.04,12.23,68.46,2.48,3.06,55.75,48.11,7.5,30.18,17.73,25.37,26.22,63.51,0,The Loose Passive Fish
41,00JohnnyBlaze00,1473.0,-33.38,43.97,30.36,17.95,13.64,53.51,3.49,41.78,66.67,65.26,0.0,41.63,28.92,27.66,29.42,44.44,4,The Loose Aggro Fish
42,01100101jmaybe,1876.0,21.52,35.48,16.27,25.85,4.0,61.59,2.59,10.68,54.88,32.95,12.5,46.09,60.38,44.64,29.55,42.47,0,The Loose Passive Fish
43,019Delta,4192.0,-30.83,36.43,27.59,2.08,9.09,71.43,0.51,4.81,49.02,49.57,1.08,14.87,29.73,37.99,32.74,59.21,2,The Hyper-aggro Maniacs
44,032353,8420.0,-9.88,46.58,32.88,17.18,5.43,55.36,2.1,17.8,67.22,44.62,7.52,34.67,31.95,39.88,30.89,49.51,2,The Hyper-aggro Maniacs
45,03joem84,6517.0,-32.25,54.35,51.09,7.13,11.11,43.13,0.65,4.98,40.18,54.35,1.92,20.64,21.77,41.47,36.92,53.39,2,The Hyper-aggro Maniacs
46,04ellsworth,25627.0,-27.12,44.45,35.46,2.02,5.53,65.39,0.91,9.2,66.46,53.37,1.55,28.6,25.61,40.55,33.14,50.04,2,The Hyper-aggro Maniacs
47,07271982,3956.0,-9.81,43.09,31.21,10.78,11.76,62.84,2.15,4.73,87.15,57.89,6.23,42.2,29.8,39.38,26.33,46.83,5,The Moderate Aggressor
49,081128055,6484.0,-12.37,34.07,19.26,6.56,2.5,72.39,2.18,26.32,73.1,62.11,1.67,41.41,48.3,29.82,24.72,55.71,5,The Moderate Aggressor
51,09281969,1003.0,26.4,50.97,38.46,12.7,6.67,75.95,1.83,11.19,77.42,49.14,5.5,29.11,36.02,28.85,29.73,53.03,0,The Loose Passive Fish
52,09stang,6279.0,-16.36,55.4,36.07,4.11,5.83,65.71,1.57,16.35,79.61,42.7,3.13,40.23,45.93,22.71,26.97,44.37,5,The Moderate Aggressor
55,0Hardcastle0,179528.0,-1.57,22.76,1.82,18.74,9.92,81.16,1.77,0.11,43.11,47.98,6.48,24.17,31.16,33.64,30.66,58.98,0,The Loose Passive Fish
56,0JazzMonk0,50751.0,2.59,29.38,11.69,21.32,9.81,54.46,1.75,1.69,66.54,37.91,9.54,38.74,36.86,33.77,30.83,50.79,0,The Loose Passive Fish
57,0n_Phish_Tour,1000.0,-28.7,33.61,8.4,12.46,0.0,57.14,1.67,28.57,50.0,61.29,1.85,60.69,71.28,18.75,18.09,34.55,4,The Loose Aggro Fish
58,0ptimal,14593.0,-13.87,33.39,13.9,22.77,5.7,56.76,1.66,3.21,63.75,45.03,6.45,28.32,29.74,35.84,29.46,50.27,2,The Hyper-aggro Maniacs
60,0stake,1675.0,-17.44,34.19,12.86,7.03,13.04,66.67,3.06,15.33,71.19,61.86,2.24,47.94,37.86,28.57,19.79,45.61,5,The Moderate Aggressor
61,0tters_88,6569.0,-30.17,34.06,17.59,17.94,7.89,54.68,2.02,7.69,61.53,56.29,7.94,30.92,30.16,40.17,31.3,48.16,2,The Hyper-aggro Maniacs
63,0xfranklight,5473.0,-26.49,38.41,20.43,19.27,8.86,61.4,1.78,8.67,71.93,36.39,7.73,32.88,32.47,32.32,31.33,45.24,2,The Hyper-aggro Maniacs
64,1-Baronsamedi-1,1045.0,-21.05,26.31,18.89,7.38,5.0,64.29,1.07,15.91,72.92,73.33,0.0,22.58,20.39,44.0,31.06,62.0,2,The Hyper-aggro Maniacs
65,100%TOOHIGH,1085.0,50.47,70.44,55.29,4.03,15.38,23.64,1.54,41.41,85.71,51.09,6.29,53.79,59.04,40.0,29.4,44.26,5,The Moderate Aggressor
68,106670A,1103.0,-52.45,39.48,26.47,0.46,16.67,67.35,0.96,10.53,50.0,53.98,0.0,27.01,18.47,42.25,36.88,49.36,1,The Solid Regs
69,1094108038,1101.0,-94.12,55.93,36.96,16.67,7.14,35.37,2.58,28.17,50.82,44.55,7.29,37.58,32.71,25.68,34.46,44.33,6,The Big-Betting Fish
70,10_8dd,1477.0,13.68,43.36,12.14,30.56,19.35,41.11,2.87,5.49,65.04,51.43,16.52,39.01,37.5,40.91,31.04,51.89,0,The Loose Passive Fish
71,10k_Maniacs,3541.0,-23.22,43.85,29.67,4.94,2.6,65.15,2.18,22.86,88.76,56.91,4.12,58.43,56.73,37.16,26.22,40.92,4,The Loose Aggro Fish
72,10thelonewolf31,7147.0,-47.34,46.08,42.48,8.71,12.73,62.78,1.62,9.78,69.65,34.45,7.54,32.08,31.67,29.8,31.39,42.84,1,The Solid Regs
73,11Innn0cence,23051.0,-15.78,38.54,22.28,8.25,15.58,65.9,1.56,9.63,79.95,59.99,1.42,34.53,38.75,27.39,30.92,50.13,5,The Moderate Aggressor
74,11mcdermottr11,10610.0,-52.13,49.5,27.3,25.72,6.9,37.97,1.51,7.55,65.42,23.46,8.12,48.23,44.64,55.99,41.01,39.98,1,The Solid Regs
75,12345jepprox,5742.0,-34.56,53.71,41.0,9.82,9.24,53.65,1.25,12.93,72.95,49.43,2.09,26.7,24.75,46.11,35.75,46.3,2,The Hyper-aggro Maniacs
78,12Gator12,2003.0,-49.68,33.93,14.75,5.89,7.69,73.49,2.44,23.42,68.49,56.88,6.29,44.79,45.31,35.53,25.42,40.36,4,The Loose Aggro Fish
79,12jockey!,2110.0,-38.65,39.53,15.68,8.62,2.63,77.78,3.63,34.32,81.01,56.43,4.44,31.89,32.34,50.0,28.17,48.17,4,The Loose Aggro Fish
80,12vtvtaurus,1426.0,-77.0,54.6,32.43,0.79,12.12,69.77,1.58,28.49,85.71,51.49,2.72,56.53,56.94,44.19,32.31,43.08,1,The Solid Regs
82,1331karpy,1033.0,-17.83,32.94,24.24,12.39,20.0,66.0,2.67,8.2,77.59,47.27,8.45,38.62,26.09,38.1,29.0,41.67,2,The Hyper-aggro Maniacs
83,1395918158,16898.0,-24.12,39.4,24.77,20.5,8.54,62.97,1.67,13.58,49.67,52.57,4.36,36.07,36.26,34.66,30.38,51.76,2,The Hyper-aggro Maniacs
84,13enjamin,1315.0,-13.93,21.5,20.36,8.14,0.0,92.19,1.42,2.9,87.5,30.65,10.0,38.21,29.58,17.39,25.69,39.29,5,The Moderate Aggressor
85,13JPC,15573.0,2.29,21.31,9.37,11.83,4.55,73.84,2.77,10.53,75.11,62.72,2.05,30.76,23.43,27.13,27.55,57.08,0,The Loose Passive Fish
86,13kingkorn,9573.0,18.59,48.95,33.58,6.76,6.01,57.43,1.33,9.88,69.08,49.38,2.01,32.21,32.21,28.19,30.41,49.1,0,The Loose Passive Fish
87,13PetiteSirah,3263.0,-91.9,60.3,56.36,10.55,6.45,31.58,1.88,33.88,54.04,39.1,7.76,64.56,53.32,29.9,27.68,36.36,6,The Big-Betting Fish
88,13x13420,2634.0,-11.19,49.73,34.87,1.01,16.13,62.92,0.7,1.38,63.64,69.6,3.96,26.55,31.89,33.54,31.8,54.61,2,The Hyper-aggro Maniacs
89,1412bryan,5975.0,10.01,40.88,15.57,12.23,4.27,56.82,3.59,22.51,80.04,72.29,0.43,53.68,35.97,30.37,23.02,45.79,5,The Moderate Aggressor
90,141TheNuts,27844.0,-9.37,28.03,15.4,9.01,12.73,70.98,2.62,24.52,60.65,61.29,3.24,31.57,40.38,24.82,26.59,52.7,5,The Moderate Aggressor
91,161joe161,5528.0,-4.6,30.28,20.38,13.26,11.32,45.78,1.37,2.89,48.73,45.71,5.63,30.97,20.12,52.61,35.45,54.09,0,The Loose Passive Fish
92,16Redbread,6843.0,-16.79,41.03,18.77,0.87,2.75,72.77,2.46,47.4,70.0,70.37,2.08,47.07,47.32,27.64,27.08,47.15,5,The Moderate Aggressor
94,1717gwb9,1558.0,-49.82,48.98,21.26,16.72,9.68,60.71,2.23,24.64,69.72,48.08,0.87,40.1,25.52,28.21,32.05,42.86,1,The Solid Regs
95,1745molest,7823.0,-2.79,41.82,23.2,18.37,5.88,57.33,1.89,5.48,61.42,41.98,7.02,38.02,26.44,37.21,29.97,53.63,0,The Loose Passive Fish
97,17danielju,1271.0,-117.32,45.42,33.13,15.35,15.38,65.59,2.2,40.91,52.75,43.69,5.05,44.53,44.13,21.88,28.77,44.22,6,The Big-Betting Fish
98,17FOZZYBEAR,3134.0,-17.27,60.17,45.68,12.21,5.11,45.8,2.14,32.77,78.11,53.42,7.65,52.48,40.62,36.88,29.6,45.9,4,The Loose Aggro Fish
99,180Spot180,2179.0,-8.82,56.94,38.56,14.18,1.28,33.33,1.41,16.74,74.59,63.81,2.14,38.45,42.15,28.77,28.94,51.58,5,The Moderate Aggressor
100,1843bub,8573.0,-28.54,44.17,30.53,19.85,7.31,56.62,4.09,55.18,86.24,51.71,5.85,59.37,52.69,27.57,24.45,38.73,4,The Loose Aggro Fish
101,18mingle,1838.0,-54.77,40.35,11.52,28.01,15.79,63.96,1.65,2.1,49.15,44.95,10.14,36.78,32.47,45.36,38.14,49.31,1,The Solid Regs
102,18SteelWheels,1624.0,-96.61,56.74,30.15,17.28,7.14,46.25,1.37,19.25,49.07,56.0,2.82,44.93,51.74,25.19,26.98,40.56,6,The Big-Betting Fish
103,18woodan,1083.0,-22.99,42.65,28.46,22.69,6.25,65.52,2.14,2.53,69.64,40.74,12.0,44.5,33.02,42.86,31.45,52.83,2,The Hyper-aggro Maniacs
104,18zookc,2979.0,-36.86,58.72,30.1,7.75,5.62,50.41,1.43,26.59,54.74,64.22,2.14,30.19,34.63,34.64,30.54,49.91,2,The Hyper-aggro Maniacs
105,19 GO GETTA 19,1463.0,-33.21,44.67,26.62,18.24,4.55,56.67,1.91,18.75,55.56,57.14,3.73,30.63,22.35,41.67,32.0,47.4,2,The Hyper-aggro Maniacs
106,1976619,7106.0,-28.57,35.7,26.38,18.06,10.53,45.96,1.19,4.54,65.9,43.41,2.73,29.69,33.45,50.32,35.62,50.26,2,The Hyper-aggro Maniacs
107,1981camero,3168.0,6.14,24.98,15.67,12.96,3.85,68.63,3.07,7.76,59.73,75.23,2.72,38.71,43.37,17.28,23.63,52.48,0,The Loose Passive Fish
108,1997PokerStar,7194.0,0.76,30.45,15.61,21.62,3.17,52.97,1.45,21.48,45.14,45.45,1.29,46.15,53.9,39.46,27.52,44.6,0,The Loose Passive Fish
109,19AT94,2793.0,25.42,44.61,32.26,26.52,5.36,49.24,2.72,31.3,60.24,64.89,0.5,37.95,36.56,34.32,30.43,51.71,5,The Moderate Aggressor
110,19Beatles65,1834.0,7.55,33.59,21.28,0.61,2.56,63.04,1.91,35.0,66.67,73.03,0.7,39.0,29.91,39.39,31.07,57.08,5,The Moderate Aggressor
112,19Secrets,1517.0,5.54,42.38,24.03,21.08,24.14,60.0,4.48,33.33,73.48,41.67,13.4,53.9,62.77,20.63,27.43,47.09,5,The Moderate Aggressor
114,19Twisted51,3038.0,-9.48,38.49,13.73,5.46,7.69,59.15,2.72,47.06,74.04,63.37,0.44,61.5,66.06,31.85,27.75,44.6,4,The Loose Aggro Fish
115,19Victoria72,8419.0,22.16,27.82,20.14,5.52,12.28,73.41,1.18,0.4,76.52,57.27,3.77,18.97,18.36,34.55,31.55,62.68,0,The Loose Passive Fish
116,1airbrusher,27000.0,-8.64,52.38,31.45,5.13,3.44,60.13,2.08,42.38,88.33,61.26,1.61,46.53,38.26,39.09,30.23,49.48,5,The Moderate Aggressor
117,1ankle2,22479.0,14.46,22.26,11.49,14.41,11.11,51.92,1.8,1.31,67.98,50.25,1.75,30.55,24.52,30.27,28.14,57.08,0,The Loose Passive Fish
118,1Apogee,20949.0,1.63,33.68,21.79,11.06,4.57,59.56,2.58,33.51,72.58,58.78,2.49,41.9,35.77,26.74,28.22,52.08,5,The Moderate Aggressor
120,1bobbiclai,13720.0,-9.93,41.46,24.6,8.77,7.59,79.25,2.99,22.14,63.85,61.97,4.94,46.44,44.57,21.0,23.22,46.02,5,The Moderate Aggressor
121,1Boomswitch,2413.0,-9.62,22.91,13.46,15.52,0.0,62.0,2.12,0.0,65.46,53.73,5.45,32.25,20.45,36.56,31.83,56.5,0,The Loose Passive Fish
122,1bvincent,1424.0,-30.38,53.16,33.93,7.29,14.81,48.78,0.72,6.51,49.18,49.32,1.51,18.12,24.84,38.51,40.36,59.4,2,The Hyper-aggro Maniacs
124,1DeadPhish,2152.0,-28.27,33.87,22.75,4.2,6.25,69.09,0.93,19.53,60.0,58.25,0.48,32.48,32.06,46.84,32.84,49.31,2,The Hyper-aggro Maniacs
125,1DogBite,11366.0,-12.69,58.02,40.37,11.43,5.39,59.62,1.89,8.67,62.52,46.64,8.72,39.22,30.2,27.65,24.77,48.04,2,The Hyper-aggro Maniacs
126,1Erection,8837.0,-7.35,37.12,26.31,13.5,1.3,60.33,0.96,12.28,40.22,50.23,1.14,41.08,35.74,31.14,28.01,49.46,0,The Loose Passive Fish
130,1GJT1,8387.0,-9.12,29.08,14.31,4.72,13.7,67.72,3.1,14.7,84.65,62.29,5.81,42.61,39.88,30.54,25.2,45.15,5,The Moderate Aggressor
131,1GOF,11981.0,-21.9,42.14,22.62,7.72,3.41,65.14,1.69,19.09,66.4,61.72,3.84,33.6,29.08,46.93,35.35,46.82,2,The Hyper-aggro Maniacs
132,1kawfee1,988971.0,4.03,23.36,11.94,18.19,17.14,58.41,2.1,7.7,51.57,45.04,7.03,35.08,26.48,41.74,33.93,52.62,0,The Loose Passive Fish
134,1LightNight,26658.0,6.16,22.5,13.86,15.04,4.43,78.46,2.28,4.23,55.89,60.35,0.84,30.33,28.24,24.54,27.6,58.43,0,The Loose Passive Fish
136,1manshow1989,1656.0,-49.97,46.95,30.27,11.26,0.0,68.49,2.59,26.01,45.56,67.18,3.5,36.42,40.1,45.24,28.61,49.49,1,The Solid Regs
137,1Markaction,2130.0,-60.99,42.71,33.86,5.62,2.33,62.22,2.31,31.02,82.35,64.57,0.65,34.58,33.45,33.91,28.99,50.78,1,The Solid Regs
138,1Marshall2,2624.0,-6.59,40.09,23.78,25.36,4.55,71.51,3.03,37.23,59.64,61.76,4.23,40.95,40.45,32.14,26.7,48.71,5,The Moderate Aggressor
139,1MOMONEYMO,14594.0,-4.07,48.34,26.25,7.93,2.74,73.12,0.82,8.24,42.03,63.71,0.31,20.18,28.71,23.21,29.22,54.58,0,The Loose Passive Fish
140,1mpulse_Ctrl,3484.0,-3.91,27.91,20.3,15.29,3.45,61.98,1.07,4.17,60.52,32.74,3.23,31.8,24.92,34.97,32.99,54.17,0,The Loose Passive Fish
142,1n5aNi7y,2164.0,-156.0,69.24,43.95,35.24,8.57,27.61,1.16,18.52,52.15,48.31,0.68,35.18,39.61,20.17,32.28,44.47,3,The Tight Passive
144,1nter$tellar,1374.0,-70.68,41.12,30.65,18.06,8.33,41.51,1.95,7.41,70.31,43.9,12.9,31.18,31.18,43.9,33.33,52.11,1,The Solid Regs
146,1ringtorule,1461.0,-11.76,48.85,20.55,27.11,4.17,59.76,1.47,8.33,44.39,45.79,2.98,41.36,47.41,29.41,29.88,41.21,2,The Hyper-aggro Maniacs
147,1rmitchell0630,7374.0,-61.5,66.19,43.29,22.0,5.93,45.34,2.93,37.81,81.77,47.5,7.87,56.36,56.79,22.43,27.11,38.24,4,The Loose Aggro Fish
148,1RUNG00D,21797.0,-3.94,22.22,13.01,16.3,13.38,70.78,2.68,0.55,76.87,49.85,7.75,40.4,30.54,39.89,29.09,50.67,0,The Loose Passive Fish
149,1S1LLYRABB1T,24904.0,-12.26,18.22,12.57,0.64,3.85,85.91,0.54,1.21,89.86,45.34,1.72,22.74,18.86,40.29,33.91,61.53,0,The Loose Passive Fish
150,1shappy,9606.0,-5.35,36.69,25.05,13.79,2.5,66.08,1.41,8.68,55.19,58.46,1.88,34.62,35.23,25.78,26.26,53.44,0,The Loose Passive Fish
151,1snafubar,1497.0,-19.94,37.57,17.32,6.26,0.0,60.0,0.98,6.54,62.0,36.05,5.03,28.62,28.11,33.68,31.81,44.98,2,The Hyper-aggro Maniacs
155,1Sweet_Thang1,1116.0,-37.87,21.83,8.33,12.95,0.0,77.08,2.25,0.0,53.33,65.0,6.12,35.29,42.22,37.5,23.08,51.11,2,The Hyper-aggro Maniacs
156,1tln Stromboli,2238.0,-11.74,33.23,16.02,19.07,14.29,53.64,1.67,2.17,66.67,48.31,3.98,33.15,31.72,45.74,32.39,49.31,2,The Hyper-aggro Maniacs
157,2%DOGtilRIVER,6945.0,-6.07,46.82,33.97,13.65,7.41,45.89,1.05,3.02,71.14,47.09,3.22,32.72,34.48,44.2,33.36,46.85,2,The Hyper-aggro Maniacs
158,2000DRAGONS,52226.0,-22.94,63.21,47.48,16.13,6.97,65.85,1.57,1.83,80.62,49.29,6.6,36.27,36.87,35.3,27.59,46.36,2,The Hyper-aggro Maniacs
160,2001alicja,3089.0,3.84,57.8,41.01,11.17,9.26,52.38,1.34,16.75,77.11,48.21,4.71,37.63,50.52,40.77,32.43,48.26,5,The Moderate Aggressor
161,2004Wrx001,2132.0,2.33,45.84,26.75,16.8,19.05,66.26,2.34,15.58,57.36,47.78,8.55,49.04,39.19,26.39,25.07,43.65,5,The Moderate Aggressor
162,200TREE,1113.0,-42.13,39.65,21.15,9.44,7.14,53.33,1.18,14.0,63.64,55.56,2.86,26.92,47.65,35.38,30.67,46.0,2,The Hyper-aggro Maniacs
167,202469972k,1765.0,-82.41,32.77,16.67,6.87,21.05,53.97,2.65,28.68,72.37,56.19,7.56,51.74,51.83,38.0,27.33,36.59,1,The Solid Regs
169,205atl,42323.0,-23.16,29.69,22.27,4.64,2.27,68.65,1.23,22.4,68.1,36.32,1.41,30.25,19.96,32.87,34.31,55.13,2,The Hyper-aggro Maniacs
170,20hymsono,1445.0,-67.33,59.43,45.22,14.07,12.5,48.57,1.95,36.57,60.0,55.48,4.8,46.02,56.63,21.35,26.11,42.93,1,The Solid Regs
171,20JR20JR,1083.0,-33.79,50.24,33.0,10.31,10.0,48.72,0.93,0.9,66.67,48.42,5.77,28.95,32.49,40.0,35.53,48.97,2,The Hyper-aggro Maniacs
172,20oleg,1705.0,-47.91,65.76,50.0,20.2,3.48,31.82,2.05,53.8,83.08,58.46,0.0,47.1,54.93,28.93,31.62,49.19,4,The Loose Aggro Fish
173,20redwheeler19,2193.0,-14.74,34.51,25.31,2.1,0.0,62.96,0.36,1.91,50.0,54.97,4.44,16.03,42.32,28.26,32.87,54.37,2,The Hyper-aggro Maniacs
175,211_To_187,1182.0,-97.29,64.71,45.54,31.49,24.24,29.27,2.51,30.46,68.45,41.23,6.19,51.02,47.46,33.33,37.57,35.71,6,The Big-Betting Fish
176,215Jagoff,1363.0,33.4,35.81,20.71,9.29,9.52,44.12,1.18,11.11,63.16,57.75,7.87,35.52,37.5,44.29,29.53,46.01,0,The Loose Passive Fish
177,215Joshua,2360.0,-78.54,42.07,17.23,21.95,25.0,46.0,4.86,52.0,86.18,53.78,6.4,61.45,46.43,39.78,31.97,37.71,6,The Big-Betting Fish
178,215joustNEP,27612.0,-40.78,47.47,32.05,9.15,1.11,62.17,0.65,12.27,36.55,40.1,1.46,26.04,27.04,33.62,34.1,47.91,2,The Hyper-aggro Maniacs
180,21AKUSfan2,26588.0,-2.62,28.32,18.11,3.11,3.42,69.78,0.95,11.58,87.59,48.24,0.98,27.22,22.84,42.47,33.16,52.98,0,The Loose Passive Fish
181,21STEAKFAT,3963.0,-4.97,50.91,30.39,21.87,3.03,65.27,2.41,26.56,42.58,65.42,2.93,37.11,32.7,12.5,28.63,51.21,2,The Hyper-aggro Maniacs
182,21stun3s,1724.0,-32.73,41.78,39.6,15.91,11.11,62.96,2.2,17.2,63.4,67.13,3.91,30.79,36.71,46.15,35.04,48.86,2,The Hyper-aggro Maniacs
183,22Coins,5679.0,-3.25,40.72,32.61,15.1,4.65,61.29,1.34,0.88,57.45,46.62,4.29,37.26,42.35,22.91,28.23,48.67,0,The Loose Passive Fish
184,22EPL,13060.0,-0.04,27.72,1.45,23.01,8.0,68.06,2.24,0.39,61.13,36.88,10.3,27.58,36.54,46.19,31.85,52.48,0,The Loose Passive Fish
185,22pelican,35016.0,-25.75,38.61,28.27,18.03,6.7,64.5,2.33,11.62,66.5,42.39,11.9,45.8,40.79,27.19,27.94,44.1,2,The Hyper-aggro Maniacs
186,23csteele,10174.0,-59.08,45.22,33.8,20.64,7.5,53.4,1.43,25.65,48.41,39.43,2.72,57.55,63.88,35.27,30.26,38.44,1,The Solid Regs
187,2435823746,14100.0,-32.71,38.08,25.17,12.55,20.98,51.02,3.54,35.91,70.81,62.03,6.51,34.68,42.27,30.43,32.04,47.17,4,The Loose Aggro Fish
188,25081,4958.0,-10.99,37.2,17.65,21.09,23.88,57.33,3.73,22.07,82.12,51.85,7.52,61.35,56.44,27.5,25.03,42.72,5,The Moderate Aggressor
189,25TH_HOUR_TY,3386.0,-20.23,36.56,27.84,5.12,15.09,65.52,1.31,21.29,54.84,55.91,4.23,23.65,45.39,26.35,29.46,52.53,2,The Hyper-aggro Maniacs
190,26Jacob,1946.0,-19.42,33.07,15.25,3.73,3.33,73.49,1.32,27.65,64.1,54.61,5.63,42.31,54.4,59.49,34.28,53.72,5,The Moderate Aggressor
193,295876,1677.0,-70.19,49.97,36.36,11.26,0.0,53.54,6.35,61.54,82.29,53.54,11.25,73.76,61.78,9.52,16.2,33.59,4,The Loose Aggro Fish
194,2_yangsta,1565.0,-59.18,38.2,19.76,28.7,4.55,78.16,1.86,5.77,60.92,33.33,0.0,45.66,34.46,38.71,32.24,41.77,1,The Solid Regs
195,2AJILE,8274.0,-16.01,31.3,16.8,18.26,7.02,72.46,1.56,4.72,60.26,41.56,1.9,27.83,24.97,51.24,38.69,51.62,2,The Hyper-aggro Maniacs
196,2bearz1cave,2086.0,-18.29,37.76,22.03,4.18,2.0,58.0,0.94,19.51,74.58,58.18,0.0,26.34,24.84,56.86,40.7,61.0,2,The Hyper-aggro Maniacs
