,player,hands,bb_100,vpip,pfr,3bet_f,fold_to_3bet,flop_af,donk_f,cbet_f,fold_to_f_cbet,xr_flop,bet_t,bet_r,call_r_bet,wtsd,wsd,cluster,cluster_name
35,-MOJ-44,5479.0,-8.13,46.33,15.45,10.0,60.27,2.5,29.91,66.25,53.26,5.4,39.96,30.33,29.62,27.79,44.5,5,Tight Passive Rocks
36,.N3gative1inM3.,11986.0,3.05,20.95,15.16,10.0,70.52,1.81,9.23,46.49,55.36,3.2,21.61,19.86,19.26,27.67,59.53,0,Balanced Semi-Loose Players
37,00.chew.00,10235.0,-36.87,38.92,9.63,14.08,59.69,0.63,0.31,51.49,50.38,4.01,18.05,22.9,27.65,33.92,56.43,2,Semi-Loose Neutral Players
39,007DadJokes,1052.0,-42.02,48.35,5.72,14.29,69.23,1.18,24.17,80.65,43.0,0.83,38.46,42.15,40.23,37.55,44.72,4,Overly Aggressive Semi-Loose Players
40,00joe11,27128.0,0.75,17.09,12.03,12.32,68.37,2.5,3.08,55.88,47.94,7.61,30.05,17.71,25.61,26.29,63.69,0,Balanced Semi-Loose Players
41,00JohnnyBlaze00,1473.0,-33.38,43.97,17.95,13.64,53.51,3.49,41.78,66.67,65.26,0.0,41.63,28.92,27.66,29.42,44.44,4,Overly Aggressive Semi-Loose Players
42,01100101jmaybe,1876.0,21.52,35.48,25.85,4.0,61.59,2.59,10.68,54.88,32.95,12.5,46.09,60.38,44.64,29.55,42.47,0,Balanced Semi-Loose Players
43,019Delta,4192.0,-30.83,36.43,2.08,9.09,71.43,0.51,4.81,49.02,49.57,1.08,14.87,29.73,37.99,32.74,59.21,2,Semi-Loose Neutral Players
44,032353,8420.0,-9.88,46.58,17.18,5.43,55.36,2.1,17.8,67.22,44.62,7.52,34.67,31.95,39.88,30.89,49.51,2,Semi-Loose Neutral Players
45,03joem84,6517.0,-32.25,54.35,7.13,11.11,43.13,0.65,4.98,40.18,54.35,1.92,20.64,21.77,41.47,36.92,53.39,2,Semi-Loose Neutral Players
46,04ellsworth,25627.0,-27.12,44.45,2.02,5.53,65.39,0.91,9.2,66.46,53.37,1.55,28.6,25.61,40.55,33.14,50.04,2,Semi-Loose Neutral Players
47,07271982,3956.0,-9.81,43.09,10.78,11.76,62.84,2.15,4.73,87.15,57.89,6.23,42.2,29.8,39.38,26.33,46.83,5,Tight Passive Rocks
49,081128055,6484.0,-12.37,34.07,6.56,2.5,72.39,2.18,26.32,73.1,62.11,1.67,41.41,48.3,29.82,24.72,55.71,5,Tight Passive Rocks
51,09281969,1003.0,26.4,50.97,12.7,6.67,75.95,1.83,11.19,77.42,49.14,5.5,29.11,36.02,28.85,29.73,53.03,0,Balanced Semi-Loose Players
52,09stang,6279.0,-16.36,55.4,4.11,5.83,65.71,1.57,16.35,79.61,42.7,3.13,40.23,45.93,22.71,26.97,44.37,5,Tight Passive Rocks
55,0Hardcastle0,179528.0,-1.57,22.76,18.74,9.92,81.16,1.77,0.11,43.11,47.98,6.48,24.17,31.16,33.64,30.66,58.98,0,Balanced Semi-Loose Players
56,0JazzMonk0,50751.0,2.59,29.38,21.32,9.81,54.46,1.75,1.69,66.54,37.91,9.54,38.74,36.86,33.77,30.83,50.79,0,Balanced Semi-Loose Players
